Date of Last Update,12/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,SERVICE_SETTING,DESCRIPTION,CPT,NDC,REVENUE_CODE,Gross Charge,Discounted Cash Price,Aetna Commercial Out of Network,Aetna Commercial Out of Network - Emergency Services,Aetna HMO/PPO,Alignment Medicare Adv_ HMO / PPO,Anthem Blue Cross Commercial Out of Network,Anthem Blue Cross Commercial Out of Network - Emergency Services,Anthem HMO/PPO,Anthem Individual,Anthem Medicare Adv_ HMO / PPO,Blue Shield Commercial Out of Network,Blue Shield Commercial Out of Network - Emergency Services,Blue Shield HMO / PPO,Blue Shield Individual,Blue Shield Medicare Adv_ HMO / PPO,Cigna Commercial Out of Network,Cigna Commercial Out of Network - Emergency Services,Cigna HMO/PPO,Health Net Commercial Out of Network,Health Net Commercial Out of Network - Emergency Services,Health Net HMO / PPO,Health Net Medicare Adv_ HMO / PPO,HealthSmart PPO,Humana Medicare Adv_ HMO,Multiplan PPO,Partnership Health Plan,Stanford Advantage Medicare Adv_ HMO,Sutter Health Plus HMO,United Commercial Out of Network,United Commercial Out of Network - Emergency Services,United HMO / POS,United Medicare Adv_ HMO and PPO,United PPO,United Signature Value Alliance,Minimum Negotiated Price,Maximum Negotiated Price
IP-35000007,INPATIENT,HCHG EEG 61-119 MIN,95813,,740,"$2,161.00 ","$1,296.60 ","$1,772.02 ","$1,663.97 ",,,"$1,772.02 ","$1,663.97 ",,,,,,,,,"$1,772.02 ","$1,663.97 ",,"$1,772.02 ","$1,663.97 ",,,"$1,642.36 ",,"$1,685.58 ",,,,"$1,772.02 ","$1,663.97 ",,,,,"$1,642.36 ","$1,772.02 "
IP-35000008,INPATIENT,HCHG EEG AWAKE AND DROWSY RECORDS 20-40 MIN,95816,,740,"$1,748.00 ","$1,048.80 ","$1,433.36 ","$1,345.96 ",,,"$1,433.36 ","$1,345.96 ",,,,,,,,,"$1,433.36 ","$1,345.96 ",,"$1,433.36 ","$1,345.96 ",,,"$1,328.48 ",,"$1,363.44 ",,,,"$1,433.36 ","$1,345.96 ",,,,,"$1,328.48 ","$1,433.36 "
IP-35000009,INPATIENT,HCHG EEG AWAKE AND ASLEEP RECORDS 20-40 MIN,95819,,740,"$1,953.00 ","$1,171.80 ","$1,601.46 ","$1,503.81 ",,,"$1,601.46 ","$1,503.81 ",,,,,,,,,"$1,601.46 ","$1,503.81 ",,"$1,601.46 ","$1,503.81 ",,,"$1,484.28 ",,"$1,523.34 ",,,,"$1,601.46 ","$1,503.81 ",,,,,"$1,484.28 ","$1,601.46 "
IP-35000010,INPATIENT,HCHG EEG SLEEP COMA RECORDS 20-40 MIN,95822,,740,"$2,413.00 ","$1,447.80 ","$1,978.66 ","$1,858.01 ",,,"$1,978.66 ","$1,858.01 ",,,,,,,,,"$1,978.66 ","$1,858.01 ",,"$1,978.66 ","$1,858.01 ",,,"$1,833.88 ",,"$1,882.14 ",,,,"$1,978.66 ","$1,858.01 ",,,,,"$1,833.88 ","$1,978.66 "
IP-35000011,INPATIENT,HCHG EEG CEREBRAL DEATH EVALUATION,95824,,740,"$2,025.00 ","$1,215.00 ","$1,660.50 ","$1,559.25 ",,,"$1,660.50 ","$1,559.25 ",,,,,,,,,"$1,660.50 ","$1,559.25 ",,"$1,660.50 ","$1,559.25 ",,,"$1,539.00 ",,"$1,579.50 ",,,,"$1,660.50 ","$1,559.25 ",,,,,"$1,539.00 ","$1,660.50 "
IP-35000098,INPATIENT,HCHG EEG W/O VID 2-12 HR UNMNTR,95705,,740,"$2,985.00 ","$1,791.00 ","$2,447.70 ","$2,298.45 ",,,"$2,447.70 ","$2,298.45 ",,,,,,,,,"$2,447.70 ","$2,298.45 ",,"$2,447.70 ","$2,298.45 ",,,"$2,268.60 ",,"$2,328.30 ",,,,"$2,447.70 ","$2,298.45 ",,,,,"$2,268.60 ","$2,447.70 "
IP-39300000,INPATIENT,HCHG MRI CARD MRI VEL FLW MAP,75565,,610,$746.00 ,$447.60 ,$611.72 ,$574.42 ,,,$611.72 ,$574.42 ,,,,,,,,,$611.72 ,$574.42 ,,$611.72 ,$574.42 ,,,$566.96 ,,$581.88 ,,,,$611.72 ,$574.42 ,,,,,$566.96 ,$611.72 
IP-40900003,INPATIENT,HCHG CORE UREA NITROGEN URINE TIMED,84540,,301,$130.00 ,$78.00 ,$106.60 ,$100.10 ,,,$106.60 ,$100.10 ,,,,,,,,,$106.60 ,$100.10 ,,$106.60 ,$100.10 ,,,$98.80 ,,$101.40 ,,,,$106.60 ,$100.10 ,,,,,$98.80 ,$106.60 
IP-40900010,INPATIENT,HCHG CORE ALLERGEN SPECIFIC IGE QN/SEMI CRUDE EXT,86003,,302,$92.00 ,$55.20 ,$75.44 ,$70.84 ,,,$75.44 ,$70.84 ,,,,,,,,,$75.44 ,$70.84 ,,$75.44 ,$70.84 ,,,$69.92 ,,$71.76 ,,,,$75.44 ,$70.84 ,,,,,$69.92 ,$75.44 
IP-40900011,INPATIENT,HCHG CORE ALPH 1 ANTITRYPSN,82103,,301,$105.00 ,$63.00 ,$86.10 ,$80.85 ,,,$86.10 ,$80.85 ,,,,,,,,,$86.10 ,$80.85 ,,$86.10 ,$80.85 ,,,$79.80 ,,$81.90 ,,,,$86.10 ,$80.85 ,,,,,$79.80 ,$86.10 
IP-40900012,INPATIENT,HCHG CORE APOLIPOPROTEIN B,82172,,301,$173.00 ,$103.80 ,$141.86 ,$133.21 ,,,$141.86 ,$133.21 ,,,,,,,,,$141.86 ,$133.21 ,,$141.86 ,$133.21 ,,,$131.48 ,,$134.94 ,,,,$141.86 ,$133.21 ,,,,,$131.48 ,$141.86 
IP-40900013,INPATIENT,HCHG CORE APOLIPOPROTEIN A1,82172,,301,$173.00 ,$103.80 ,$141.86 ,$133.21 ,,,$141.86 ,$133.21 ,,,,,,,,,$141.86 ,$133.21 ,,$141.86 ,$133.21 ,,,$131.48 ,,$134.94 ,,,,$141.86 ,$133.21 ,,,,,$131.48 ,$141.86 
IP-40900014,INPATIENT,HCHG CORE NATRIURETIC PEPTIDE,83880,,301,$542.00 ,$325.20 ,$444.44 ,$417.34 ,,,$444.44 ,$417.34 ,,,,,,,,,$444.44 ,$417.34 ,,$444.44 ,$417.34 ,,,$411.92 ,,$422.76 ,,,,$444.44 ,$417.34 ,,,,,$411.92 ,$444.44 
IP-40900015,INPATIENT,HCHG CORE CHOLESTEROL,82465,,301,$111.00 ,$66.60 ,$91.02 ,$85.47 ,,,$91.02 ,$85.47 ,,,,,,,,,$91.02 ,$85.47 ,,$91.02 ,$85.47 ,,,$84.36 ,,$86.58 ,,,,$91.02 ,$85.47 ,,,,,$84.36 ,$91.02 
IP-40900017,INPATIENT,HCHG CORE PHENYTOIN FREE,80186,,301,$381.00 ,$228.60 ,$312.42 ,$293.37 ,,,$312.42 ,$293.37 ,,,,,,,,,$312.42 ,$293.37 ,,$312.42 ,$293.37 ,,,$289.56 ,,$297.18 ,,,,$312.42 ,$293.37 ,,,,,$289.56 ,$312.42 
IP-40900021,INPATIENT,HCHG CORE ASSY TST BLD FCL,82274,,301,$99.00 ,$59.40 ,$81.18 ,$76.23 ,,,$81.18 ,$76.23 ,,,,,,,,,$81.18 ,$76.23 ,,$81.18 ,$76.23 ,,,$75.24 ,,$77.22 ,,,,$81.18 ,$76.23 ,,,,,$75.24 ,$81.18 
IP-40900022,INPATIENT,HCHG CORE RUBEOLA AB IGG,86765,,302,$83.00 ,$49.80 ,$68.06 ,$63.91 ,,,$68.06 ,$63.91 ,,,,,,,,,$68.06 ,$63.91 ,,$68.06 ,$63.91 ,,,$63.08 ,,$64.74 ,,,,$68.06 ,$63.91 ,,,,,$63.08 ,$68.06 
IP-40900023,INPATIENT,HCHG CORE RUBEOLA AB IGM,86765,,302,$83.00 ,$49.80 ,$68.06 ,$63.91 ,,,$68.06 ,$63.91 ,,,,,,,,,$68.06 ,$63.91 ,,$68.06 ,$63.91 ,,,$63.08 ,,$64.74 ,,,,$68.06 ,$63.91 ,,,,,$63.08 ,$68.06 
IP-40900024,INPATIENT,HCHG CORE TB TST CELL IMM MS,86480,,302,$423.00 ,$253.80 ,$346.86 ,$325.71 ,,,$346.86 ,$325.71 ,,,,,,,,,$346.86 ,$325.71 ,,$346.86 ,$325.71 ,,,$321.48 ,,$329.94 ,,,,$346.86 ,$325.71 ,,,,,$321.48 ,$346.86 
IP-40900025,INPATIENT,HCHG CORE TRIGLYCERIDE,84478,,301,$126.00 ,$75.60 ,$103.32 ,$97.02 ,,,$103.32 ,$97.02 ,,,,,,,,,$103.32 ,$97.02 ,,$103.32 ,$97.02 ,,,$95.76 ,,$98.28 ,,,,$103.32 ,$97.02 ,,,,,$95.76 ,$103.32 
IP-40900026,INPATIENT,HCHG CORE PROTN ELECTRO UR,84166,,301,$79.00 ,$47.40 ,$64.78 ,$60.83 ,,,$64.78 ,$60.83 ,,,,,,,,,$64.78 ,$60.83 ,,$64.78 ,$60.83 ,,,$60.04 ,,$61.62 ,,,,$64.78 ,$60.83 ,,,,,$60.04 ,$64.78 
IP-40900027,INPATIENT,HCHG CORE VZV AB IGG,86787,,302,$89.00 ,$53.40 ,$72.98 ,$68.53 ,,,$72.98 ,$68.53 ,,,,,,,,,$72.98 ,$68.53 ,,$72.98 ,$68.53 ,,,$67.64 ,,$69.42 ,,,,$72.98 ,$68.53 ,,,,,$67.64 ,$72.98 
IP-40900028,INPATIENT,HCHG CORE VZV AB IGM,86787,,302,$89.00 ,$53.40 ,$72.98 ,$68.53 ,,,$72.98 ,$68.53 ,,,,,,,,,$72.98 ,$68.53 ,,$72.98 ,$68.53 ,,,$67.64 ,,$69.42 ,,,,$72.98 ,$68.53 ,,,,,$67.64 ,$72.98 
IP-40900031,INPATIENT,HCHG CORE HEPARIN ASSAY,85520,,305,$437.00 ,$262.20 ,$358.34 ,$336.49 ,,,$358.34 ,$336.49 ,,,,,,,,,$358.34 ,$336.49 ,,$358.34 ,$336.49 ,,,$332.12 ,,$340.86 ,,,,$358.34 ,$336.49 ,,,,,$332.12 ,$358.34 
IP-40900032,INPATIENT,HCHG CORE FCTR V,85220,,305,$271.00 ,$162.60 ,$222.22 ,$208.67 ,,,$222.22 ,$208.67 ,,,,,,,,,$222.22 ,$208.67 ,,$222.22 ,$208.67 ,,,$205.96 ,,$211.38 ,,,,$222.22 ,$208.67 ,,,,,$205.96 ,$222.22 
IP-40900033,INPATIENT,HCHG CORE FCTR II,85210,,305,$246.00 ,$147.60 ,$201.72 ,$189.42 ,,,$201.72 ,$189.42 ,,,,,,,,,$201.72 ,$189.42 ,,$201.72 ,$189.42 ,,,$186.96 ,,$191.88 ,,,,$201.72 ,$189.42 ,,,,,$186.96 ,$201.72 
IP-40900034,INPATIENT,HCHG CORE FCTR IX,85250,,305,$347.00 ,$208.20 ,$284.54 ,$267.19 ,,,$284.54 ,$267.19 ,,,,,,,,,$284.54 ,$267.19 ,,$284.54 ,$267.19 ,,,$263.72 ,,$270.66 ,,,,$284.54 ,$267.19 ,,,,,$263.72 ,$284.54 
IP-40900035,INPATIENT,HCHG CORE FCTR VIII,85240,,305,$104.00 ,$62.40 ,$85.28 ,$80.08 ,,,$85.28 ,$80.08 ,,,,,,,,,$85.28 ,$80.08 ,,$85.28 ,$80.08 ,,,$79.04 ,,$81.12 ,,,,$85.28 ,$80.08 ,,,,,$79.04 ,$85.28 
IP-40900036,INPATIENT,HCHG CORE FCTR VII,85230,,305,$335.00 ,$201.00 ,$274.70 ,$257.95 ,,,$274.70 ,$257.95 ,,,,,,,,,$274.70 ,$257.95 ,,$274.70 ,$257.95 ,,,$254.60 ,,$261.30 ,,,,$274.70 ,$257.95 ,,,,,$254.60 ,$274.70 
IP-40900037,INPATIENT,HCHG CORE FCTR X,85260,,305,$372.00 ,$223.20 ,$305.04 ,$286.44 ,,,$305.04 ,$286.44 ,,,,,,,,,$305.04 ,$286.44 ,,$305.04 ,$286.44 ,,,$282.72 ,,$290.16 ,,,,$305.04 ,$286.44 ,,,,,$282.72 ,$305.04 
IP-40900038,INPATIENT,HCHG CORE FCTR XI,85270,,305,$278.00 ,$166.80 ,$227.96 ,$214.06 ,,,$227.96 ,$214.06 ,,,,,,,,,$227.96 ,$214.06 ,,$227.96 ,$214.06 ,,,$211.28 ,,$216.84 ,,,,$227.96 ,$214.06 ,,,,,$211.28 ,$227.96 
IP-40900039,INPATIENT,HCHG CORE FCTR XII,85280,,305,$218.00 ,$130.80 ,$178.76 ,$167.86 ,,,$178.76 ,$167.86 ,,,,,,,,,$178.76 ,$167.86 ,,$178.76 ,$167.86 ,,,$165.68 ,,$170.04 ,,,,$178.76 ,$167.86 ,,,,,$165.68 ,$178.76 
IP-40900040,INPATIENT,HCHG CORE HIV 1 RNA QN PCR W/WO REVRS TRNSCRP,87536,,306,$466.00 ,$279.60 ,$382.12 ,$358.82 ,,,$382.12 ,$358.82 ,,,,,,,,,$382.12 ,$358.82 ,,$382.12 ,$358.82 ,,,$354.16 ,,$363.48 ,,,,$382.12 ,$358.82 ,,,,,$354.16 ,$382.12 
IP-40900041,INPATIENT,HCHG CORE PROTEIN S ACTIVITY,85306,,305,$207.00 ,$124.20 ,$169.74 ,$159.39 ,,,$169.74 ,$159.39 ,,,,,,,,,$169.74 ,$159.39 ,,$169.74 ,$159.39 ,,,$157.32 ,,$161.46 ,,,,$169.74 ,$159.39 ,,,,,$157.32 ,$169.74 
IP-40900042,INPATIENT,HCHG CORE VITAMIN D 25HYDROXY,82306,,301,$259.00 ,$155.40 ,$212.38 ,$199.43 ,,,$212.38 ,$199.43 ,,,,,,,,,$212.38 ,$199.43 ,,$212.38 ,$199.43 ,,,$196.84 ,,$202.02 ,,,,$212.38 ,$199.43 ,,,,,$196.84 ,$212.38 
IP-40900043,INPATIENT,HCHG CORE PREALBUMIN,84134,,301,$214.00 ,$128.40 ,$175.48 ,$164.78 ,,,$175.48 ,$164.78 ,,,,,,,,,$175.48 ,$164.78 ,,$175.48 ,$164.78 ,,,$162.64 ,,$166.92 ,,,,$175.48 ,$164.78 ,,,,,$162.64 ,$175.48 
IP-40900044,INPATIENT,HCHG CORE PROTEIN C ACTIVATED,85307,,305,$271.00 ,$162.60 ,$222.22 ,$208.67 ,,,$222.22 ,$208.67 ,,,,,,,,,$222.22 ,$208.67 ,,$222.22 ,$208.67 ,,,$205.96 ,,$211.38 ,,,,$222.22 ,$208.67 ,,,,,$205.96 ,$222.22 
IP-40900045,INPATIENT,HCHG CORE CARDIOLIPIN IGA AB,86147,,302,$30.00 ,$18.00 ,$24.60 ,$23.10 ,,,$24.60 ,$23.10 ,,,,,,,,,$24.60 ,$23.10 ,,$24.60 ,$23.10 ,,,$22.80 ,,$23.40 ,,,,$24.60 ,$23.10 ,,,,,$22.80 ,$24.60 
IP-40900046,INPATIENT,HCHG CORE CARDIOLIPIN IGG AB,86147,,302,$30.00 ,$18.00 ,$24.60 ,$23.10 ,,,$24.60 ,$23.10 ,,,,,,,,,$24.60 ,$23.10 ,,$24.60 ,$23.10 ,,,$22.80 ,,$23.40 ,,,,$24.60 ,$23.10 ,,,,,$22.80 ,$24.60 
IP-40900047,INPATIENT,HCHG CORE CARDIOLIPIN IGM AB,86147,,302,$30.00 ,$18.00 ,$24.60 ,$23.10 ,,,$24.60 ,$23.10 ,,,,,,,,,$24.60 ,$23.10 ,,$24.60 ,$23.10 ,,,$22.80 ,,$23.40 ,,,,$24.60 ,$23.10 ,,,,,$22.80 ,$24.60 
IP-40900048,INPATIENT,HCHG CORE C REACTIVE PROTEIN,86140,,302,$162.00 ,$97.20 ,$132.84 ,$124.74 ,,,$132.84 ,$124.74 ,,,,,,,,,$132.84 ,$124.74 ,,$132.84 ,$124.74 ,,,$123.12 ,,$126.36 ,,,,$132.84 ,$124.74 ,,,,,$123.12 ,$132.84 
IP-40900049,INPATIENT,HCHG CORE DHEA SULFATE,82627,,301,$122.00 ,$73.20 ,$100.04 ,$93.94 ,,,$100.04 ,$93.94 ,,,,,,,,,$100.04 ,$93.94 ,,$100.04 ,$93.94 ,,,$92.72 ,,$95.16 ,,,,$100.04 ,$93.94 ,,,,,$92.72 ,$100.04 
IP-40900050,INPATIENT,HCHG CORE ERYTHROPOIETIN,82668,,301,$210.00 ,$126.00 ,$172.20 ,$161.70 ,,,$172.20 ,$161.70 ,,,,,,,,,$172.20 ,$161.70 ,,$172.20 ,$161.70 ,,,$159.60 ,,$163.80 ,,,,$172.20 ,$161.70 ,,,,,$159.60 ,$172.20 
IP-40900051,INPATIENT,HCHG CORE BETA HCG QUAN,84702,,301,$378.00 ,$226.80 ,$309.96 ,$291.06 ,,,$309.96 ,$291.06 ,,,,,,,,,$309.96 ,$291.06 ,,$309.96 ,$291.06 ,,,$287.28 ,,$294.84 ,,,,$309.96 ,$291.06 ,,,,,$287.28 ,$309.96 
IP-40900052,INPATIENT,HCHG CORE INSULIN,83525,,301,$220.00 ,$132.00 ,$180.40 ,$169.40 ,,,$180.40 ,$169.40 ,,,,,,,,,$180.40 ,$169.40 ,,$180.40 ,$169.40 ,,,$167.20 ,,$171.60 ,,,,$180.40 ,$169.40 ,,,,,$167.20 ,$180.40 
IP-40900053,INPATIENT,HCHG CORE PROTEIN C ACTIVITY,85303,,305,$149.00 ,$89.40 ,$122.18 ,$114.73 ,,,$122.18 ,$114.73 ,,,,,,,,,$122.18 ,$114.73 ,,$122.18 ,$114.73 ,,,$113.24 ,,$116.22 ,,,,$122.18 ,$114.73 ,,,,,$113.24 ,$122.18 
IP-40900054,INPATIENT,HCHG CORE PLSMG,85420,,305,$59.00 ,$35.40 ,$48.38 ,$45.43 ,,,$48.38 ,$45.43 ,,,,,,,,,$48.38 ,$45.43 ,,$48.38 ,$45.43 ,,,$44.84 ,,$46.02 ,,,,$48.38 ,$45.43 ,,,,,$44.84 ,$48.38 
IP-40900055,INPATIENT,HCHG CORE HEP C VIRUS PCR QN W/WO REV TRNS,87522,,306,$283.00 ,$169.80 ,$232.06 ,$217.91 ,,,$232.06 ,$217.91 ,,,,,,,,,$232.06 ,$217.91 ,,$232.06 ,$217.91 ,,,$215.08 ,,$220.74 ,,,,$232.06 ,$217.91 ,,,,,$215.08 ,$232.06 
IP-40900056,INPATIENT,HCHG CORE C DIFF AMPLIFIED PROBE,87493,,306,$308.00 ,$184.80 ,$252.56 ,$237.16 ,,,$252.56 ,$237.16 ,,,,,,,,,$252.56 ,$237.16 ,,$252.56 ,$237.16 ,,,$234.08 ,,$240.24 ,,,,$252.56 ,$237.16 ,,,,,$234.08 ,$252.56 
IP-40900058,INPATIENT,HCHG CORE CAMPY ID BY IMMUNOASSAY,87899,,306,$116.00 ,$69.60 ,$95.12 ,$89.32 ,,,$95.12 ,$89.32 ,,,,,,,,,$95.12 ,$89.32 ,,$95.12 ,$89.32 ,,,$88.16 ,,$90.48 ,,,,$95.12 ,$89.32 ,,,,,$88.16 ,$95.12 
IP-40900060,INPATIENT,HCHG CORE CULT TYP FLUROSCENT,87140,,306,$84.00 ,$50.40 ,$68.88 ,$64.68 ,,,$68.88 ,$64.68 ,,,,,,,,,$68.88 ,$64.68 ,,$68.88 ,$64.68 ,,,$63.84 ,,$65.52 ,,,,$68.88 ,$64.68 ,,,,,$63.84 ,$68.88 
IP-40900061,INPATIENT,HCHG CORE MUMPS AB IGG,86735,,302,$85.00 ,$51.00 ,$69.70 ,$65.45 ,,,$69.70 ,$65.45 ,,,,,,,,,$69.70 ,$65.45 ,,$69.70 ,$65.45 ,,,$64.60 ,,$66.30 ,,,,$69.70 ,$65.45 ,,,,,$64.60 ,$69.70 
IP-40900062,INPATIENT,HCHG CORE TESTOSTERONE TOTAL,84403,,301,$125.00 ,$75.00 ,$102.50 ,$96.25 ,,,$102.50 ,$96.25 ,,,,,,,,,$102.50 ,$96.25 ,,$102.50 ,$96.25 ,,,$95.00 ,,$97.50 ,,,,$102.50 ,$96.25 ,,,,,$95.00 ,$102.50 
IP-40900065,INPATIENT,HCHG CORE DRUG SCREEN CLASS LIST A,80307,,301,$669.00 ,$401.40 ,$548.58 ,$515.13 ,,,$548.58 ,$515.13 ,,,,,,,,,$548.58 ,$515.13 ,,$548.58 ,$515.13 ,,,$508.44 ,,$521.82 ,,,,$548.58 ,$515.13 ,,,,,$508.44 ,$548.58 
IP-40900067,INPATIENT,HCHG CORE CFTR GENE COMMON VARIANTS,81220,,301,$239.00 ,$143.40 ,$195.98 ,$184.03 ,,,$195.98 ,$184.03 ,,,,,,,,,$195.98 ,$184.03 ,,$195.98 ,$184.03 ,,,$181.64 ,,$186.42 ,,,,$195.98 ,$184.03 ,,,,,$181.64 ,$195.98 
IP-40900076,INPATIENT,HCHG CORE IGE,82785,,301,$134.00 ,$80.40 ,$109.88 ,$103.18 ,,,$109.88 ,$103.18 ,,,,,,,,,$109.88 ,$103.18 ,,$109.88 ,$103.18 ,,,$101.84 ,,$104.52 ,,,,$109.88 ,$103.18 ,,,,,$101.84 ,$109.88 
IP-40900077,INPATIENT,HCHG CORE SEX HORMONE BIND GLOB,84270,,301,$150.00 ,$90.00 ,$123.00 ,$115.50 ,,,$123.00 ,$115.50 ,,,,,,,,,$123.00 ,$115.50 ,,$123.00 ,$115.50 ,,,$114.00 ,,$117.00 ,,,,$123.00 ,$115.50 ,,,,,$114.00 ,$123.00 
IP-40900078,INPATIENT,HCHG CORE F2 GENE ANALYSIS 20210G>A,81240,,301,$138.00 ,$82.80 ,$113.16 ,$106.26 ,,,$113.16 ,$106.26 ,,,,,,,,,$113.16 ,$106.26 ,,$113.16 ,$106.26 ,,,$104.88 ,,$107.64 ,,,,$113.16 ,$106.26 ,,,,,$104.88 ,$113.16 
IP-40900079,INPATIENT,HCHG CORE F5 GENE ANALYSIS LEIDEN,81241,,301,$160.00 ,$96.00 ,$131.20 ,$123.20 ,,,$131.20 ,$123.20 ,,,,,,,,,$131.20 ,$123.20 ,,$131.20 ,$123.20 ,,,$121.60 ,,$124.80 ,,,,$131.20 ,$123.20 ,,,,,$121.60 ,$131.20 
IP-40900080,INPATIENT,HCHG CORE MTHFR GENE,81291,,301,$404.00 ,$242.40 ,$331.28 ,$311.08 ,,,$331.28 ,$311.08 ,,,,,,,,,$331.28 ,$311.08 ,,$331.28 ,$311.08 ,,,$307.04 ,,$315.12 ,,,,$331.28 ,$311.08 ,,,,,$307.04 ,$331.28 
IP-40900081,INPATIENT,HCHG CORE RESP VIRUS 3-5 TARGETS,87631,,306,$441.00 ,$264.60 ,$361.62 ,$339.57 ,,,$361.62 ,$339.57 ,,,,,,,,,$361.62 ,$339.57 ,,$361.62 ,$339.57 ,,,$335.16 ,,$343.98 ,,,,$361.62 ,$339.57 ,,,,,$335.16 ,$361.62 
IP-40900082,INPATIENT,HCHG CORE RESP VIRUS 6-11 TARGETS,87632,,306,$674.00 ,$404.40 ,$552.68 ,$518.98 ,,,$552.68 ,$518.98 ,,,,,,,,,$552.68 ,$518.98 ,,$552.68 ,$518.98 ,,,$512.24 ,,$525.72 ,,,,$552.68 ,$518.98 ,,,,,$512.24 ,$552.68 
IP-40900083,INPATIENT,HCHG CORE RESP VIRUS 12-25 TARGETS,87633,,306,$831.00 ,$498.60 ,$681.42 ,$639.87 ,,,$681.42 ,$639.87 ,,,,,,,,,$681.42 ,$639.87 ,,$681.42 ,$639.87 ,,,$631.56 ,,$648.18 ,,,,$681.42 ,$639.87 ,,,,,$631.56 ,$681.42 
IP-40900085,INPATIENT,HCHG CORE AFB ISOLATE ID,87118,,306,$290.00 ,$174.00 ,$237.80 ,$223.30 ,,,$237.80 ,$223.30 ,,,,,,,,,$237.80 ,$223.30 ,,$237.80 ,$223.30 ,,,$220.40 ,,$226.20 ,,,,$237.80 ,$223.30 ,,,,,$220.40 ,$237.80 
IP-40900086,INPATIENT,HCHG CORE TISSUE HOMOGENIZATION,87176,,306,$83.00 ,$49.80 ,$68.06 ,$63.91 ,,,$68.06 ,$63.91 ,,,,,,,,,$68.06 ,$63.91 ,,$68.06 ,$63.91 ,,,$63.08 ,,$64.74 ,,,,$68.06 ,$63.91 ,,,,,$63.08 ,$68.06 
IP-40900087,INPATIENT,HCHG CORE CULT TYP AGGL,87147,,306,$89.00 ,$53.40 ,$72.98 ,$68.53 ,,,$72.98 ,$68.53 ,,,,,,,,,$72.98 ,$68.53 ,,$72.98 ,$68.53 ,,,$67.64 ,,$69.42 ,,,,$72.98 ,$68.53 ,,,,,$67.64 ,$72.98 
IP-40900088,INPATIENT,HCHG CORE ALBUMIN OTHER SOURCE QN EA,82042,,301,$91.00 ,$54.60 ,$74.62 ,$70.07 ,,,$74.62 ,$70.07 ,,,,,,,,,$74.62 ,$70.07 ,,$74.62 ,$70.07 ,,,$69.16 ,,$70.98 ,,,,$74.62 ,$70.07 ,,,,,$69.16 ,$74.62 
IP-40900094,INPATIENT,HCHG CORE OVA & PARASITES W CONC,87177,,306,$58.00 ,$34.80 ,$47.56 ,$44.66 ,,,$47.56 ,$44.66 ,,,,,,,,,$47.56 ,$44.66 ,,$47.56 ,$44.66 ,,,$44.08 ,,$45.24 ,,,,$47.56 ,$44.66 ,,,,,$44.08 ,$47.56 
IP-40900095,INPATIENT,HCHG CORE CULT STL CAMPHYLOB EA PLT,87046,,306,$130.00 ,$78.00 ,$106.60 ,$100.10 ,,,$106.60 ,$100.10 ,,,,,,,,,$106.60 ,$100.10 ,,$106.60 ,$100.10 ,,,$98.80 ,,$101.40 ,,,,$106.60 ,$100.10 ,,,,,$98.80 ,$106.60 
IP-40900102,INPATIENT,HCHG CORE B-P PERTUSSIS DNA QUL PCR,87798,,306,$342.00 ,$205.20 ,$280.44 ,$263.34 ,,,$280.44 ,$263.34 ,,,,,,,,,$280.44 ,$263.34 ,,$280.44 ,$263.34 ,,,$259.92 ,,$266.76 ,,,,$280.44 ,$263.34 ,,,,,$259.92 ,$280.44 
IP-40900103,INPATIENT,HCHG CORE PSA TOTAL DIAGNOSTIC,84153,,301,$231.00 ,$138.60 ,$189.42 ,$177.87 ,,,$189.42 ,$177.87 ,,,,,,,,,$189.42 ,$177.87 ,,$189.42 ,$177.87 ,,,$175.56 ,,$180.18 ,,,,$189.42 ,$177.87 ,,,,,$175.56 ,$189.42 
IP-40900104,INPATIENT,HCHG CORE AFB CULT,87116,,306,$171.00 ,$102.60 ,$140.22 ,$131.67 ,,,$140.22 ,$131.67 ,,,,,,,,,$140.22 ,$131.67 ,,$140.22 ,$131.67 ,,,$129.96 ,,$133.38 ,,,,$140.22 ,$131.67 ,,,,,$129.96 ,$140.22 
IP-40900105,INPATIENT,HCHG CORE AFP TUMOR MARKER,82105,,301,$161.00 ,$96.60 ,$132.02 ,$123.97 ,,,$132.02 ,$123.97 ,,,,,,,,,$132.02 ,$123.97 ,,$132.02 ,$123.97 ,,,$122.36 ,,$125.58 ,,,,$132.02 ,$123.97 ,,,,,$122.36 ,$132.02 
IP-40900106,INPATIENT,HCHG CORE ALBUMIN SERUM/PLASMA/BLD,82040,,301,$92.00 ,$55.20 ,$75.44 ,$70.84 ,,,$75.44 ,$70.84 ,,,,,,,,,$75.44 ,$70.84 ,,$75.44 ,$70.84 ,,,$69.92 ,,$71.76 ,,,,$75.44 ,$70.84 ,,,,,$69.92 ,$75.44 
IP-40900109,INPATIENT,HCHG CORE ALK PHOSPHATASE,84075,,301,$93.00 ,$55.80 ,$76.26 ,$71.61 ,,,$76.26 ,$71.61 ,,,,,,,,,$76.26 ,$71.61 ,,$76.26 ,$71.61 ,,,$70.68 ,,$72.54 ,,,,$76.26 ,$71.61 ,,,,,$70.68 ,$76.26 
