Date of Last Update,12/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,SERVICE_SETTING,DESCRIPTION,CPT,NDC,REVENUE_CODE,Gross Charge,Discounted Cash Price,Aetna Commercial Out of Network,Aetna Commercial Out of Network - Emergency Services,Aetna HMO/PPO,Alignment Medicare Adv_ HMO / PPO,Anthem Blue Cross Commercial Out of Network,Anthem Blue Cross Commercial Out of Network - Emergency Services,Anthem CalPERS EPO,Anthem HMO/PPO,Anthem Individual,Anthem Medicare Adv_ HMO / PPO,Blue Shield Commercial Out of Network,Blue Shield Commercial Out of Network - Emergency Services,Blue Shield HMO / PPO,Blue Shield Individual,Blue Shield Medicare Adv_ HMO / PPO,Cigna Commercial Out of Network,Cigna Commercial Out of Network - Emergency Services,Cigna HMO/PPO,Health Net Commercial Out of Network,Health Net Commercial Out of Network - Emergency Services,Health Net HMO / PPO,Health Net Medicare Adv_ HMO / PPO,HealthSmart PPO,Humana Medicare Adv_ HMO,Multiplan PPO,Partnership Health Plan,Stanford Advantage Medicare Adv_ HMO,United Commercial Out of Network,United Commercial Out of Network - Emergency Services,United HMO / POS,United Medicare Adv_ HMO and PPO,United PPO,United Signature Value Alliance,Minimum Negotiated Price,Maximum Negotiated Price
IP-41050015,INPATIENT,HCHG POCT HEMATOCRIT,85014,,305,$71.00 ,$56.80 ,$61.06 ,$61.06 ,$61.06 ,,$60.35 ,$60.35 ,$58.22 ,$60.35 ,$60.35 ,,$60.35 ,$60.35 ,$60.35 ,$60.35 ,,$66.03 ,$66.03 ,$66.03 ,$63.90 ,$63.90 ,$63.90 ,,$63.90 ,,$63.90 ,,,$63.90 ,$63.90 ,$63.90 ,,$63.90 ,$63.90 ,$58.22 ,$66.03 
IP-41050021,INPATIENT,HCHG POCT URINALYSIS AUTO W/O MICRO,81003,,307,$65.00 ,$52.00 ,$55.90 ,$55.90 ,$55.90 ,,$55.25 ,$55.25 ,$53.30 ,$55.25 ,$55.25 ,,$55.25 ,$55.25 ,$55.25 ,$55.25 ,,$60.45 ,$60.45 ,$60.45 ,$58.50 ,$58.50 ,$58.50 ,,$58.50 ,,$58.50 ,,,$58.50 ,$58.50 ,$58.50 ,,$58.50 ,$58.50 ,$53.30 ,$60.45 
IP-41050022,INPATIENT,HCHG POCT PREGNANCY SCREEN URINE,81025,,307,$156.00 ,$124.80 ,$134.16 ,$134.16 ,$134.16 ,,$132.60 ,$132.60 ,$127.92 ,$132.60 ,$132.60 ,,$132.60 ,$132.60 ,$132.60 ,$132.60 ,,$145.08 ,$145.08 ,$145.08 ,$140.40 ,$140.40 ,$140.40 ,,$140.40 ,,$140.40 ,,,$140.40 ,$140.40 ,$140.40 ,,$140.40 ,$140.40 ,$127.92 ,$145.08 
IP-41050034,INPATIENT,HCHG POCT LACTIC ACID,83605,,301,$233.00 ,$186.40 ,$200.38 ,$200.38 ,$200.38 ,,$198.05 ,$198.05 ,$191.06 ,$198.05 ,$198.05 ,,$198.05 ,$198.05 ,$198.05 ,$198.05 ,,$216.69 ,$216.69 ,$216.69 ,$209.70 ,$209.70 ,$209.70 ,,$209.70 ,,$209.70 ,,,$209.70 ,$209.70 ,$209.70 ,,$209.70 ,$209.70 ,$191.06 ,$216.69 
IP-41050037,INPATIENT,HCHG POCT BSC MTBLC PNL INZD CA,80047,,301,$288.00 ,$230.40 ,$247.68 ,$247.68 ,$247.68 ,,$244.80 ,$244.80 ,$236.16 ,$244.80 ,$244.80 ,,$244.80 ,$244.80 ,$244.80 ,$244.80 ,,$267.84 ,$267.84 ,$267.84 ,$259.20 ,$259.20 ,$259.20 ,,$259.20 ,,$259.20 ,,,$259.20 ,$259.20 ,$259.20 ,,$259.20 ,$259.20 ,$236.16 ,$267.84 
IP-41050038,INPATIENT,HCHG POCT URNALYSIS MAN W/O MICRO,81002,,307,$40.00 ,$32.00 ,$34.40 ,$34.40 ,$34.40 ,,$34.00 ,$34.00 ,$32.80 ,$34.00 ,$34.00 ,,$34.00 ,$34.00 ,$34.00 ,$34.00 ,,$37.20 ,$37.20 ,$37.20 ,$36.00 ,$36.00 ,$36.00 ,,$36.00 ,,$36.00 ,,,$36.00 ,$36.00 ,$36.00 ,,$36.00 ,$36.00 ,$32.80 ,$37.20 
IP-41050055,INPATIENT,HCHG POCT STREP A ASSAY W/OPTIC,87880,,306,$169.00 ,$135.20 ,$145.34 ,$145.34 ,$145.34 ,,$143.65 ,$143.65 ,$138.58 ,$143.65 ,$143.65 ,,$143.65 ,$143.65 ,$143.65 ,$143.65 ,,$157.17 ,$157.17 ,$157.17 ,$152.10 ,$152.10 ,$152.10 ,,$152.10 ,,$152.10 ,,,$152.10 ,$152.10 ,$152.10 ,,$152.10 ,$152.10 ,$138.58 ,$157.17 
IP-41050063,INPATIENT,HCHG POCT IADNA SARS-COV-2 COVID-19 AMP PROBE TQ,87635,,306,$111.00 ,$88.80 ,$95.46 ,$95.46 ,$95.46 ,,$94.35 ,$94.35 ,$91.02 ,$94.35 ,$94.35 ,,$94.35 ,$94.35 ,$94.35 ,$94.35 ,,$103.23 ,$103.23 ,$103.23 ,$99.90 ,$99.90 ,$99.90 ,,$99.90 ,,$99.90 ,,,$99.90 ,$99.90 ,$99.90 ,,$99.90 ,$99.90 ,$91.02 ,$103.23 
IP-41100002,INPATIENT,HCHG CRYO PS (POOLED CRYO (5 CRYO)),P9012,,390,$390.00 ,$312.00 ,$335.40 ,$335.40 ,$335.40 ,,$331.50 ,$331.50 ,$319.80 ,$331.50 ,$331.50 ,,$331.50 ,$331.50 ,$331.50 ,$331.50 ,,$362.70 ,$362.70 ,$362.70 ,$351.00 ,$351.00 ,$351.00 ,,$351.00 ,,$351.00 ,,,$351.00 ,$351.00 ,$351.00 ,,$351.00 ,$351.00 ,$319.80 ,$362.70 
IP-41100003,INPATIENT,HCHG RBC LEUKOCYTES REDUCED PROCESSING EA UNIT,P9016,,390,$246.00 ,$196.80 ,$211.56 ,$211.56 ,$211.56 ,,$209.10 ,$209.10 ,$201.72 ,$209.10 ,$209.10 ,,$209.10 ,$209.10 ,$209.10 ,$209.10 ,,$228.78 ,$228.78 ,$228.78 ,$221.40 ,$221.40 ,$221.40 ,,$221.40 ,,$221.40 ,,,$221.40 ,$221.40 ,$221.40 ,,$221.40 ,$221.40 ,$201.72 ,$228.78 
IP-41100004,INPATIENT,HCHG FRESH FROZEN PLASMA PROCESSING EA UNIT,P9017,,390,$85.00 ,$68.00 ,$73.10 ,$73.10 ,$73.10 ,,$72.25 ,$72.25 ,$69.70 ,$72.25 ,$72.25 ,,$72.25 ,$72.25 ,$72.25 ,$72.25 ,,$79.05 ,$79.05 ,$79.05 ,$76.50 ,$76.50 ,$76.50 ,,$76.50 ,,$76.50 ,,,$76.50 ,$76.50 ,$76.50 ,,$76.50 ,$76.50 ,$69.70 ,$79.05 
IP-41100013,INPATIENT,HCHG PLATELETS PHERESIS LEUKOCYTE REDUCED EA UNIT,P9035,,390,$647.00 ,$517.60 ,$556.42 ,$556.42 ,$556.42 ,,$549.95 ,$549.95 ,$530.54 ,$549.95 ,$549.95 ,,$549.95 ,$549.95 ,$549.95 ,$549.95 ,,$601.71 ,$601.71 ,$601.71 ,$582.30 ,$582.30 ,$582.30 ,,$582.30 ,,$582.30 ,,,$582.30 ,$582.30 ,$582.30 ,,$582.30 ,$582.30 ,$530.54 ,$601.71 
IP-41100015,INPATIENT,HCHG PLATELETS PHER L/R IRRAD PS EA UNIT,P9037,,390,$786.00 ,$628.80 ,$675.96 ,$675.96 ,$675.96 ,,$668.10 ,$668.10 ,$644.52 ,$668.10 ,$668.10 ,,$668.10 ,$668.10 ,$668.10 ,$668.10 ,,$730.98 ,$730.98 ,$730.98 ,$707.40 ,$707.40 ,$707.40 ,,$707.40 ,,$707.40 ,,,$707.40 ,$707.40 ,$707.40 ,,$707.40 ,$707.40 ,$644.52 ,$730.98 
IP-41100017,INPATIENT,HCHG RBC LEUKOCYTE REDUCED IRRAD PS EA UNIT,P9040,,390,$296.00 ,$236.80 ,$254.56 ,$254.56 ,$254.56 ,,$251.60 ,$251.60 ,$242.72 ,$251.60 ,$251.60 ,,$251.60 ,$251.60 ,$251.60 ,$251.60 ,,$275.28 ,$275.28 ,$275.28 ,$266.40 ,$266.40 ,$266.40 ,,$266.40 ,,$266.40 ,,,$266.40 ,$266.40 ,$266.40 ,,$266.40 ,$266.40 ,$242.72 ,$275.28 
IP-41100022,INPATIENT,HCHG FRESH FROZEN PLASMA 8-24 HRS OF COLLECTION EA UNIT,P9059,,390,$93.00 ,$74.40 ,$79.98 ,$79.98 ,$79.98 ,,$79.05 ,$79.05 ,$76.26 ,$79.05 ,$79.05 ,,$79.05 ,$79.05 ,$79.05 ,$79.05 ,,$86.49 ,$86.49 ,$86.49 ,$83.70 ,$83.70 ,$83.70 ,,$83.70 ,,$83.70 ,,,$83.70 ,$83.70 ,$83.70 ,,$83.70 ,$83.70 ,$76.26 ,$86.49 
IP-41100029,INPATIENT,HCHG FRESH FROZEN PLASMA PROCESSING JUMBO EA UNIT,P9017,,390,$203.00 ,$162.40 ,$174.58 ,$174.58 ,$174.58 ,,$172.55 ,$172.55 ,$166.46 ,$172.55 ,$172.55 ,,$172.55 ,$172.55 ,$172.55 ,$172.55 ,,$188.79 ,$188.79 ,$188.79 ,$182.70 ,$182.70 ,$182.70 ,,$182.70 ,,$182.70 ,,,$182.70 ,$182.70 ,$182.70 ,,$182.70 ,$182.70 ,$166.46 ,$188.79 
IP-41100055,INPATIENT,HCHG CRYO PS SINGLE UNIT,P9012,,390,$590.00 ,$472.00 ,$507.40 ,$507.40 ,$507.40 ,,$501.50 ,$501.50 ,$483.80 ,$501.50 ,$501.50 ,,$501.50 ,$501.50 ,$501.50 ,$501.50 ,,$548.70 ,$548.70 ,$548.70 ,$531.00 ,$531.00 ,$531.00 ,,$531.00 ,,$531.00 ,,,$531.00 ,$531.00 ,$531.00 ,,$531.00 ,$531.00 ,$483.80 ,$548.70 
IP-41100056,INPATIENT,HCHG FRESH FROZEN PLAZMA PROCESSING DIVIDED UNIT,P9017,,390,$319.00 ,$255.20 ,$274.34 ,$274.34 ,$274.34 ,,$271.15 ,$271.15 ,$261.58 ,$271.15 ,$271.15 ,,$271.15 ,$271.15 ,$271.15 ,$271.15 ,,$296.67 ,$296.67 ,$296.67 ,$287.10 ,$287.10 ,$287.10 ,,$287.10 ,,$287.10 ,,,$287.10 ,$287.10 ,$287.10 ,,$287.10 ,$287.10 ,$261.58 ,$296.67 
IP-41100069,INPATIENT,HCHG PLATELETS PHERESIS PATHOGEN-REDUCED EACH UNIT,P9073,,390,$615.00 ,$492.00 ,$528.90 ,$528.90 ,$528.90 ,,$522.75 ,$522.75 ,$504.30 ,$522.75 ,$522.75 ,,$522.75 ,$522.75 ,$522.75 ,$522.75 ,,$571.95 ,$571.95 ,$571.95 ,$553.50 ,$553.50 ,$553.50 ,,$553.50 ,,$553.50 ,,,$553.50 ,$553.50 ,$553.50 ,,$553.50 ,$553.50 ,$504.30 ,$571.95 
IP-41100071,INPATIENT,HCHG PLASMA FRESH FROZEN CONVALESCENT,P9017,,390,$83.00 ,$66.40 ,$71.38 ,$71.38 ,$71.38 ,,$70.55 ,$70.55 ,$68.06 ,$70.55 ,$70.55 ,,$70.55 ,$70.55 ,$70.55 ,$70.55 ,,$77.19 ,$77.19 ,$77.19 ,$74.70 ,$74.70 ,$74.70 ,,$74.70 ,,$74.70 ,,,$74.70 ,$74.70 ,$74.70 ,,$74.70 ,$74.70 ,$68.06 ,$77.19 
IP-41200000,INPATIENT,HCHG REF ER/PR/HER-2 W/MORPHOMETRY,88360,,310,$368.00 ,$294.40 ,$316.48 ,$316.48 ,$316.48 ,,$312.80 ,$312.80 ,$301.76 ,$312.80 ,$312.80 ,,$312.80 ,$312.80 ,$312.80 ,$312.80 ,,$342.24 ,$342.24 ,$342.24 ,$331.20 ,$331.20 ,$331.20 ,,$331.20 ,,$331.20 ,,,$331.20 ,$331.20 ,$331.20 ,,$331.20 ,$331.20 ,$301.76 ,$342.24 
IP-41200001,INPATIENT,HCHG REF NEO TUMOR IMMUNOHISTOCHEM MAN,88360,,310,$60.00 ,$48.00 ,$51.60 ,$51.60 ,$51.60 ,,$51.00 ,$51.00 ,$49.20 ,$51.00 ,$51.00 ,,$51.00 ,$51.00 ,$51.00 ,$51.00 ,,$55.80 ,$55.80 ,$55.80 ,$54.00 ,$54.00 ,$54.00 ,,$54.00 ,,$54.00 ,,,$54.00 ,$54.00 ,$54.00 ,,$54.00 ,$54.00 ,$49.20 ,$55.80 
IP-41200005,INPATIENT,HCHG REF NEO IN SITU HYBRIDIZATION EA PROBE,88365,,310,$65.00 ,$52.00 ,$55.90 ,$55.90 ,$55.90 ,,$55.25 ,$55.25 ,$53.30 ,$55.25 ,$55.25 ,,$55.25 ,$55.25 ,$55.25 ,$55.25 ,,$60.45 ,$60.45 ,$60.45 ,$58.50 ,$58.50 ,$58.50 ,,$58.50 ,,$58.50 ,,,$58.50 ,$58.50 ,$58.50 ,,$58.50 ,$58.50 ,$53.30 ,$60.45 
IP-41200007,INPATIENT,HCHG REF NEO INSITU HYBRIDIZATION AUTO,88367,,310,$130.00 ,$104.00 ,$111.80 ,$111.80 ,$111.80 ,,$110.50 ,$110.50 ,$106.60 ,$110.50 ,$110.50 ,,$110.50 ,$110.50 ,$110.50 ,$110.50 ,,$120.90 ,$120.90 ,$120.90 ,$117.00 ,$117.00 ,$117.00 ,,$117.00 ,,$117.00 ,,,$117.00 ,$117.00 ,$117.00 ,,$117.00 ,$117.00 ,$106.60 ,$120.90 
IP-41200010,INPATIENT,HCHG REF NEO INSITU HYBRIDIZATION MANUAL,88368,,310,$130.00 ,$104.00 ,$111.80 ,$111.80 ,$111.80 ,,$110.50 ,$110.50 ,$106.60 ,$110.50 ,$110.50 ,,$110.50 ,$110.50 ,$110.50 ,$110.50 ,,$120.90 ,$120.90 ,$120.90 ,$117.00 ,$117.00 ,$117.00 ,,$117.00 ,,$117.00 ,,,$117.00 ,$117.00 ,$117.00 ,,$117.00 ,$117.00 ,$106.60 ,$120.90 
IP-41200017,INPATIENT,HCHG REF CYTOLOGY FLUID NOT CERVICAL/VAGINAL,88104,,311,$115.00 ,$92.00 ,$98.90 ,$98.90 ,$98.90 ,,$97.75 ,$97.75 ,$94.30 ,$97.75 ,$97.75 ,,$97.75 ,$97.75 ,$97.75 ,$97.75 ,,$106.95 ,$106.95 ,$106.95 ,$103.50 ,$103.50 ,$103.50 ,,$103.50 ,,$103.50 ,,,$103.50 ,$103.50 ,$103.50 ,,$103.50 ,$103.50 ,$94.30 ,$106.95 
IP-41200020,INPATIENT,HCHG REF CYTOPATHOLGY SELECTIVE CELLULAR ENHANCEMENT TEH,88112,,311,$515.00 ,$412.00 ,$442.90 ,$442.90 ,$442.90 ,,$437.75 ,$437.75 ,$422.30 ,$437.75 ,$437.75 ,,$437.75 ,$437.75 ,$437.75 ,$437.75 ,,$478.95 ,$478.95 ,$478.95 ,$463.50 ,$463.50 ,$463.50 ,,$463.50 ,,$463.50 ,,,$463.50 ,$463.50 ,$463.50 ,,$463.50 ,$463.50 ,$422.30 ,$478.95 
IP-41200046,INPATIENT,HCHG REF CELL MARKER TECH ONLY 1ST,88184,,311,$9.30 ,$7.44 ,$8.00 ,$8.00 ,$8.00 ,,$7.91 ,$7.91 ,$7.63 ,$7.91 ,$7.91 ,,$7.91 ,$7.91 ,$7.91 ,$7.91 ,,$8.65 ,$8.65 ,$8.65 ,$8.37 ,$8.37 ,$8.37 ,,$8.37 ,,$8.37 ,,,$8.37 ,$8.37 ,$8.37 ,,$8.37 ,$8.37 ,$7.63 ,$8.65 
IP-41200047,INPATIENT,HCHG REF CELL MARKER TECHNICAL COMPONENT EA ADDL MARKER,88185,,311,$9.00 ,$7.20 ,$7.74 ,$7.74 ,$7.74 ,,$7.65 ,$7.65 ,$7.38 ,$7.65 ,$7.65 ,,$7.65 ,$7.65 ,$7.65 ,$7.65 ,,$8.37 ,$8.37 ,$8.37 ,$8.10 ,$8.10 ,$8.10 ,,$8.10 ,,$8.10 ,,,$8.10 ,$8.10 ,$8.10 ,,$8.10 ,$8.10 ,$7.38 ,$8.37 
IP-41200050,INPATIENT,HCHG REF CELL MARKER INTERPRETATION 2-8 MARKERS,88187,,311,$154.40 ,$123.52 ,$132.78 ,$132.78 ,$132.78 ,,$131.24 ,$131.24 ,$126.61 ,$131.24 ,$131.24 ,,$131.24 ,$131.24 ,$131.24 ,$131.24 ,,$143.59 ,$143.59 ,$143.59 ,$138.96 ,$138.96 ,$138.96 ,,$138.96 ,,$138.96 ,,,$138.96 ,$138.96 ,$138.96 ,,$138.96 ,$138.96 ,$126.61 ,$143.59 
IP-41200054,INPATIENT,HCHG REF CELL MARKER INTERPRET 16+,88189,,311,$9.15 ,$7.32 ,$7.87 ,$7.87 ,$7.87 ,,$7.78 ,$7.78 ,$7.50 ,$7.78 ,$7.78 ,,$7.78 ,$7.78 ,$7.78 ,$7.78 ,,$8.51 ,$8.51 ,$8.51 ,$8.24 ,$8.24 ,$8.24 ,,$8.24 ,,$8.24 ,,,$8.24 ,$8.24 ,$8.24 ,,$8.24 ,$8.24 ,$7.50 ,$8.51 
IP-41200059,INPATIENT,HCHG REF SURGICAL PATHOLOGY LEVEL I,88300,,312,$70.00 ,$56.00 ,$60.20 ,$60.20 ,$60.20 ,,$59.50 ,$59.50 ,$57.40 ,$59.50 ,$59.50 ,,$59.50 ,$59.50 ,$59.50 ,$59.50 ,,$65.10 ,$65.10 ,$65.10 ,$63.00 ,$63.00 ,$63.00 ,,$63.00 ,,$63.00 ,,,$63.00 ,$63.00 ,$63.00 ,,$63.00 ,$63.00 ,$57.40 ,$65.10 
IP-41200060,INPATIENT,HCHG REF SURG PATH LVL II,88302,,312,$98.00 ,$78.40 ,$84.28 ,$84.28 ,$84.28 ,,$83.30 ,$83.30 ,$80.36 ,$83.30 ,$83.30 ,,$83.30 ,$83.30 ,$83.30 ,$83.30 ,,$91.14 ,$91.14 ,$91.14 ,$88.20 ,$88.20 ,$88.20 ,,$88.20 ,,$88.20 ,,,$88.20 ,$88.20 ,$88.20 ,,$88.20 ,$88.20 ,$80.36 ,$91.14 
IP-41200061,INPATIENT,HCHG REF SURG PATH LVL III,88304,,312,$132.00 ,$105.60 ,$113.52 ,$113.52 ,$113.52 ,,$112.20 ,$112.20 ,$108.24 ,$112.20 ,$112.20 ,,$112.20 ,$112.20 ,$112.20 ,$112.20 ,,$122.76 ,$122.76 ,$122.76 ,$118.80 ,$118.80 ,$118.80 ,,$118.80 ,,$118.80 ,,,$118.80 ,$118.80 ,$118.80 ,,$118.80 ,$118.80 ,$108.24 ,$122.76 
IP-41200062,INPATIENT,HCHG REF CYTO CL BLK 5 CNT/1 KARY,88305,,312,$124.00 ,$99.20 ,$106.64 ,$106.64 ,$106.64 ,,$105.40 ,$105.40 ,$101.68 ,$105.40 ,$105.40 ,,$105.40 ,$105.40 ,$105.40 ,$105.40 ,,$115.32 ,$115.32 ,$115.32 ,$111.60 ,$111.60 ,$111.60 ,,$111.60 ,,$111.60 ,,,$111.60 ,$111.60 ,$111.60 ,,$111.60 ,$111.60 ,$101.68 ,$115.32 
IP-41200063,INPATIENT,HCHG REF SURGICAL PATHOLOGY LEVEL IV,88305,,312,$167.00 ,$133.60 ,$143.62 ,$143.62 ,$143.62 ,,$141.95 ,$141.95 ,$136.94 ,$141.95 ,$141.95 ,,$141.95 ,$141.95 ,$141.95 ,$141.95 ,,$155.31 ,$155.31 ,$155.31 ,$150.30 ,$150.30 ,$150.30 ,,$150.30 ,,$150.30 ,,,$150.30 ,$150.30 ,$150.30 ,,$150.30 ,$150.30 ,$136.94 ,$155.31 
IP-41200064,INPATIENT,HCHG REF SURGICAL PATHOLOGY LEVEL V,88307,,312,$457.20 ,$365.76 ,$393.19 ,$393.19 ,$393.19 ,,$388.62 ,$388.62 ,$374.90 ,$388.62 ,$388.62 ,,$388.62 ,$388.62 ,$388.62 ,$388.62 ,,$425.20 ,$425.20 ,$425.20 ,$411.48 ,$411.48 ,$411.48 ,,$411.48 ,,$411.48 ,,,$411.48 ,$411.48 ,$411.48 ,,$411.48 ,$411.48 ,$374.90 ,$425.20 
IP-41200065,INPATIENT,HCHG REF SURGICAL PATHOLOGY LEVEL VI,88309,,312,$328.00 ,$262.40 ,$282.08 ,$282.08 ,$282.08 ,,$278.80 ,$278.80 ,$268.96 ,$278.80 ,$278.80 ,,$278.80 ,$278.80 ,$278.80 ,$278.80 ,,$305.04 ,$305.04 ,$305.04 ,$295.20 ,$295.20 ,$295.20 ,,$295.20 ,,$295.20 ,,,$295.20 ,$295.20 ,$295.20 ,,$295.20 ,$295.20 ,$268.96 ,$305.04 
IP-41200066,INPATIENT,HCHG REF DECALCIFICATION,88311,,312,$135.00 ,$108.00 ,$116.10 ,$116.10 ,$116.10 ,,$114.75 ,$114.75 ,$110.70 ,$114.75 ,$114.75 ,,$114.75 ,$114.75 ,$114.75 ,$114.75 ,,$125.55 ,$125.55 ,$125.55 ,$121.50 ,$121.50 ,$121.50 ,,$121.50 ,,$121.50 ,,,$121.50 ,$121.50 ,$121.50 ,,$121.50 ,$121.50 ,$110.70 ,$125.55 
IP-41200067,INPATIENT,HCHG REF SPECIAL STAIN I&R GROUP I MICROORGANISM,88312,,312,$121.00 ,$96.80 ,$104.06 ,$104.06 ,$104.06 ,,$102.85 ,$102.85 ,$99.22 ,$102.85 ,$102.85 ,,$102.85 ,$102.85 ,$102.85 ,$102.85 ,,$112.53 ,$112.53 ,$112.53 ,$108.90 ,$108.90 ,$108.90 ,,$108.90 ,,$108.90 ,,,$108.90 ,$108.90 ,$108.90 ,,$108.90 ,$108.90 ,$99.22 ,$112.53 
IP-41200068,INPATIENT,HCHG REF SPCL STN I&R GRP II NO MICROORG/ENZYME/IMCYT&IS,88313,,312,$135.00 ,$108.00 ,$116.10 ,$116.10 ,$116.10 ,,$114.75 ,$114.75 ,$110.70 ,$114.75 ,$114.75 ,,$114.75 ,$114.75 ,$114.75 ,$114.75 ,,$125.55 ,$125.55 ,$125.55 ,$121.50 ,$121.50 ,$121.50 ,,$121.50 ,,$121.50 ,,,$121.50 ,$121.50 ,$121.50 ,,$121.50 ,$121.50 ,$110.70 ,$125.55 
IP-41200069,INPATIENT,HCHG REF NEO SPEC STAIN GRP II INTRP/R,88313,,312,$70.00 ,$56.00 ,$60.20 ,$60.20 ,$60.20 ,,$59.50 ,$59.50 ,$57.40 ,$59.50 ,$59.50 ,,$59.50 ,$59.50 ,$59.50 ,$59.50 ,,$65.10 ,$65.10 ,$65.10 ,$63.00 ,$63.00 ,$63.00 ,,$63.00 ,,$63.00 ,,,$63.00 ,$63.00 ,$63.00 ,,$63.00 ,$63.00 ,$57.40 ,$65.10 
IP-41200072,INPATIENT,HCHG REF OUTSD SLIDE CONSULT,88321,,312,$140.00 ,$112.00 ,$120.40 ,$120.40 ,$120.40 ,,$119.00 ,$119.00 ,$114.80 ,$119.00 ,$119.00 ,,$119.00 ,$119.00 ,$119.00 ,$119.00 ,,$130.20 ,$130.20 ,$130.20 ,$126.00 ,$126.00 ,$126.00 ,,$126.00 ,,$126.00 ,,,$126.00 ,$126.00 ,$126.00 ,,$126.00 ,$126.00 ,$114.80 ,$130.20 
IP-41200075,INPATIENT,HCHG REF PATH CONSULT INTRAOP,88329,,312,$196.77 ,$157.42 ,$169.22 ,$169.22 ,$169.22 ,,$167.25 ,$167.25 ,$161.35 ,$167.25 ,$167.25 ,,$167.25 ,$167.25 ,$167.25 ,$167.25 ,,$183.00 ,$183.00 ,$183.00 ,$177.09 ,$177.09 ,$177.09 ,,$177.09 ,,$177.09 ,,,$177.09 ,$177.09 ,$177.09 ,,$177.09 ,$177.09 ,$161.35 ,$183.00 
IP-41200076,INPATIENT,HCHG REF PATH FRZN SECTION 1 BLK,88331,,312,$140.00 ,$112.00 ,$120.40 ,$120.40 ,$120.40 ,,$119.00 ,$119.00 ,$114.80 ,$119.00 ,$119.00 ,,$119.00 ,$119.00 ,$119.00 ,$119.00 ,,$130.20 ,$130.20 ,$130.20 ,$126.00 ,$126.00 ,$126.00 ,,$126.00 ,,$126.00 ,,,$126.00 ,$126.00 ,$126.00 ,,$126.00 ,$126.00 ,$114.80 ,$130.20 
IP-41200077,INPATIENT,HCHG REF PATH FRZN SECTION ADD,88332,,312,$83.00 ,$66.40 ,$71.38 ,$71.38 ,$71.38 ,,$70.55 ,$70.55 ,$68.06 ,$70.55 ,$70.55 ,,$70.55 ,$70.55 ,$70.55 ,$70.55 ,,$77.19 ,$77.19 ,$77.19 ,$74.70 ,$74.70 ,$74.70 ,,$74.70 ,,$74.70 ,,,$74.70 ,$74.70 ,$74.70 ,,$74.70 ,$74.70 ,$68.06 ,$77.19 
IP-41200099,INPATIENT,HCHG REF CYTP EVL FNA 1ST EVL EA,88172,,311,$191.00 ,$152.80 ,$164.26 ,$164.26 ,$164.26 ,,$162.35 ,$162.35 ,$156.62 ,$162.35 ,$162.35 ,,$162.35 ,$162.35 ,$162.35 ,$162.35 ,,$177.63 ,$177.63 ,$177.63 ,$171.90 ,$171.90 ,$171.90 ,,$171.90 ,,$171.90 ,,,$171.90 ,$171.90 ,$171.90 ,,$171.90 ,$171.90 ,$156.62 ,$177.63 
IP-41200100,INPATIENT,HCHG REF FNA INTERP & RPT,88173,,311,$188.00 ,$150.40 ,$161.68 ,$161.68 ,$161.68 ,,$159.80 ,$159.80 ,$154.16 ,$159.80 ,$159.80 ,,$159.80 ,$159.80 ,$159.80 ,$159.80 ,,$174.84 ,$174.84 ,$174.84 ,$169.20 ,$169.20 ,$169.20 ,,$169.20 ,,$169.20 ,,,$169.20 ,$169.20 ,$169.20 ,,$169.20 ,$169.20 ,$154.16 ,$174.84 
IP-41200105,INPATIENT,HCHG REF TISSUE CULTURE LYMPHOCYTE,88230,,311,$100.00 ,$80.00 ,$86.00 ,$86.00 ,$86.00 ,,$85.00 ,$85.00 ,$82.00 ,$85.00 ,$85.00 ,,$85.00 ,$85.00 ,$85.00 ,$85.00 ,,$93.00 ,$93.00 ,$93.00 ,$90.00 ,$90.00 ,$90.00 ,,$90.00 ,,$90.00 ,,,$90.00 ,$90.00 ,$90.00 ,,$90.00 ,$90.00 ,$82.00 ,$93.00 
IP-41200106,INPATIENT,HCHG REF TISSUE CULTURE SKIN/SOLID BX,88233,,311,$225.00 ,$180.00 ,$193.50 ,$193.50 ,$193.50 ,,$191.25 ,$191.25 ,$184.50 ,$191.25 ,$191.25 ,,$191.25 ,$191.25 ,$191.25 ,$191.25 ,,$209.25 ,$209.25 ,$209.25 ,$202.50 ,$202.50 ,$202.50 ,,$202.50 ,,$202.50 ,,,$202.50 ,$202.50 ,$202.50 ,,$202.50 ,$202.50 ,$184.50 ,$209.25 
IP-41200116,INPATIENT,HCHG REF CHRMOSOME COUNT 15-20 CELLS/ 1 KARYOTYPE,88262,,311,$150.00 ,$120.00 ,$129.00 ,$129.00 ,$129.00 ,,$127.50 ,$127.50 ,$123.00 ,$127.50 ,$127.50 ,,$127.50 ,$127.50 ,$127.50 ,$127.50 ,,$139.50 ,$139.50 ,$139.50 ,$135.00 ,$135.00 ,$135.00 ,,$135.00 ,,$135.00 ,,,$135.00 ,$135.00 ,$135.00 ,,$135.00 ,$135.00 ,$123.00 ,$139.50 
