Date of Last Update,12/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,SERVICE_SETTING,DESCRIPTION,CPT,NDC,REVENUE_CODE,Gross Charge,Discounted Cash Price,Aetna Commercial Out of Network,Aetna Commercial Out of Network - Emergency Services,Aetna HMO/PPO,Alignment Medicare Adv_ HMO / PPO,Anthem Blue Cross Commercial Out of Network,Anthem Blue Cross Commercial Out of Network - Emergency Services,Anthem HMO/PPO,Anthem Individual,Anthem Medicare Adv_ HMO / PPO,Blue Shield Commercial Out of Network,Blue Shield Commercial Out of Network - Emergency Services,Blue Shield HMO / PPO,Blue Shield Individual,Blue Shield Medicare Adv_ HMO / PPO,Central California Alliance for Health,Cigna Commercial Out of Network,Cigna Commercial Out of Network - Emergency Services,Cigna HMO/PPO,Health Net Commercial Out of Network,Health Net Commercial Out of Network - Emergency Services,Health Net HMO / PPO,Health Net Medicare Adv_ HMO / PPO,HealthSmart PPO,Humana Medicare Adv_ HMO,Multiplan PPO,Stanford Advantage Medicare Adv_ HMO,Sutter Health Plus HMO,United Commercial Out of Network,United Commercial Out of Network - Emergency Services,United HMO / POS,United Medicare Adv_ HMO and PPO,United PPO,United Signature Value Alliance,Minimum Negotiated Price,Maximum Negotiated Price
IP-30100013,INPATIENT,HCHG US HEAD AND NECK SOFT TISSUE,76536,,402,"$1,146.00 ",$687.60 ,$939.72 ,$882.42 ,,,$939.72 ,$882.42 ,,,,,,,,,,$939.72 ,$882.42 ,,$939.72 ,$882.42 ,,,$870.96 ,,$893.88 ,,,$939.72 ,$882.42 ,,,,,$870.96 ,$939.72 
IP-30100014,INPATIENT,HCHG US CHEST,76604,,402,"$1,158.00 ",$694.80 ,$949.56 ,$891.66 ,,,$949.56 ,$891.66 ,,,,,,,,,,$949.56 ,$891.66 ,,$949.56 ,$891.66 ,,,$880.08 ,,$903.24 ,,,$949.56 ,$891.66 ,,,,,$880.08 ,$949.56 
IP-30100016,INPATIENT,HCHG US ABD COMPLETE,76700,,402,"$1,485.00 ",$891.00 ,"$1,217.70 ","$1,143.45 ",,,"$1,217.70 ","$1,143.45 ",,,,,,,,,,"$1,217.70 ","$1,143.45 ",,"$1,217.70 ","$1,143.45 ",,,"$1,128.60 ",,"$1,158.30 ",,,"$1,217.70 ","$1,143.45 ",,,,,"$1,128.60 ","$1,217.70 "
IP-30100017,INPATIENT,HCHG US ABD LTD,76705,,402,"$1,192.00 ",$715.20 ,$977.44 ,$917.84 ,,,$977.44 ,$917.84 ,,,,,,,,,,$977.44 ,$917.84 ,,$977.44 ,$917.84 ,,,$905.92 ,,$929.76 ,,,$977.44 ,$917.84 ,,,,,$905.92 ,$977.44 
IP-30100018,INPATIENT,HCHG US RETROPERITONEUM COMPLETE,76770,,402,"$1,391.00 ",$834.60 ,"$1,140.62 ","$1,071.07 ",,,"$1,140.62 ","$1,071.07 ",,,,,,,,,,"$1,140.62 ","$1,071.07 ",,"$1,140.62 ","$1,071.07 ",,,"$1,057.16 ",,"$1,084.98 ",,,"$1,140.62 ","$1,071.07 ",,,,,"$1,057.16 ","$1,140.62 "
IP-30100019,INPATIENT,HCHG US RETROPERITONEUM LTD,76775,,402,"$1,029.00 ",$617.40 ,$843.78 ,$792.33 ,,,$843.78 ,$792.33 ,,,,,,,,,,$843.78 ,$792.33 ,,$843.78 ,$792.33 ,,,$782.04 ,,$802.62 ,,,$843.78 ,$792.33 ,,,,,$782.04 ,$843.78 
IP-30100030,INPATIENT,HCHG US OB LTD 1 OR MORE FETUS,76815,,402,$860.00 ,$516.00 ,$705.20 ,$662.20 ,,,$705.20 ,$662.20 ,,,,,,,,,,$705.20 ,$662.20 ,,$705.20 ,$662.20 ,,,$653.60 ,,$670.80 ,,,$705.20 ,$662.20 ,,,,,$653.60 ,$705.20 
IP-30100033,INPATIENT,HCHG US BIO PROFILE W NONSTRESS,76818,,402,$616.00 ,$369.60 ,$505.12 ,$474.32 ,,,$505.12 ,$474.32 ,,,,,,,,,,$505.12 ,$474.32 ,,$505.12 ,$474.32 ,,,$468.16 ,,$480.48 ,,,$505.12 ,$474.32 ,,,,,$468.16 ,$505.12 
IP-30100034,INPATIENT,HCHG US BIO PROFILE WO NONSTRESS,76819,,402,$979.00 ,$587.40 ,$802.78 ,$753.83 ,,,$802.78 ,$753.83 ,,,,,,,,,,$802.78 ,$753.83 ,,$802.78 ,$753.83 ,,,$744.04 ,,$763.62 ,,,$802.78 ,$753.83 ,,,,,$744.04 ,$802.78 
IP-30100039,INPATIENT,HCHG US TRANSVAGINAL NON-OB,76830,,402,"$1,098.00 ",$658.80 ,$900.36 ,$845.46 ,,,$900.36 ,$845.46 ,,,,,,,,,,$900.36 ,$845.46 ,,$900.36 ,$845.46 ,,,$834.48 ,,$856.44 ,,,$900.36 ,$845.46 ,,,,,$834.48 ,$900.36 
IP-30100041,INPATIENT,HCHG US PELVIC COMPLETE NON-OB,76856,,402,"$1,290.00 ",$774.00 ,"$1,057.80 ",$993.30 ,,,"$1,057.80 ",$993.30 ,,,,,,,,,,"$1,057.80 ",$993.30 ,,"$1,057.80 ",$993.30 ,,,$980.40 ,,"$1,006.20 ",,,"$1,057.80 ",$993.30 ,,,,,$980.40 ,"$1,057.80 "
IP-30100042,INPATIENT,HCHG US PELVIC LTD FOLLOW-UP NON-OB,76857,,402,$853.00 ,$511.80 ,$699.46 ,$656.81 ,,,$699.46 ,$656.81 ,,,,,,,,,,$699.46 ,$656.81 ,,$699.46 ,$656.81 ,,,$648.28 ,,$665.34 ,,,$699.46 ,$656.81 ,,,,,$648.28 ,$699.46 
IP-30100043,INPATIENT,HCHG US TESTICULAR SCROTUM,76870,,402,"$1,268.00 ",$760.80 ,"$1,039.76 ",$976.36 ,,,"$1,039.76 ",$976.36 ,,,,,,,,,,"$1,039.76 ",$976.36 ,,"$1,039.76 ",$976.36 ,,,$963.68 ,,$989.04 ,,,"$1,039.76 ",$976.36 ,,,,,$963.68 ,"$1,039.76 "
IP-30100044,INPATIENT,HCHG US TRANSRECTAL,76872,,402,$933.00 ,$559.80 ,$765.06 ,$718.41 ,,,$765.06 ,$718.41 ,,,,,,,,,,$765.06 ,$718.41 ,,$765.06 ,$718.41 ,,,$709.08 ,,$727.74 ,,,$765.06 ,$718.41 ,,,,,$709.08 ,$765.06 
IP-30100054,INPATIENT,HCHG US GUIDED NEEDLE PLACE,76942,,402,"$1,341.00 ",$804.60 ,"$1,099.62 ","$1,032.57 ",,,"$1,099.62 ","$1,032.57 ",,,,,,,,,,"$1,099.62 ","$1,032.57 ",,"$1,099.62 ","$1,032.57 ",,,"$1,019.16 ",,"$1,045.98 ",,,"$1,099.62 ","$1,032.57 ",,,,,"$1,019.16 ","$1,099.62 "
IP-30100084,INPATIENT,HCHG US LIMITED  JOINT REAL TIME W/IMAGE LT,76882,,402,$737.00 ,$442.20 ,$604.34 ,$567.49 ,,,$604.34 ,$567.49 ,,,,,,,,,,$604.34 ,$567.49 ,,$604.34 ,$567.49 ,,,$560.12 ,,$574.86 ,,,$604.34 ,$567.49 ,,,,,$560.12 ,$604.34 
IP-30100085,INPATIENT,HCHG US LIMITED  JOINT REAL TIME W/IMAGE RT,76882,,402,$737.00 ,$442.20 ,$604.34 ,$567.49 ,,,$604.34 ,$567.49 ,,,,,,,,,,$604.34 ,$567.49 ,,$604.34 ,$567.49 ,,,$560.12 ,,$574.86 ,,,$604.34 ,$567.49 ,,,,,$560.12 ,$604.34 
IP-30100113,INPATIENT,HCHG US BREAST LIMITED BI,76642,,402,$798.00 ,$478.80 ,$654.36 ,$614.46 ,,,$654.36 ,$614.46 ,,,,,,,,,,$654.36 ,$614.46 ,,$654.36 ,$614.46 ,,,$606.48 ,,$622.44 ,,,$654.36 ,$614.46 ,,,,,$606.48 ,$654.36 
IP-30100114,INPATIENT,HCHG US BREAST COMPLETE LT,76641,,402,$791.00 ,$474.60 ,$648.62 ,$609.07 ,,,$648.62 ,$609.07 ,,,,,,,,,,$648.62 ,$609.07 ,,$648.62 ,$609.07 ,,,$601.16 ,,$616.98 ,,,$648.62 ,$609.07 ,,,,,$601.16 ,$648.62 
IP-30200016,INPATIENT,HCHG NI DUPLEX EXTREMITY VEINS BILATERAL,93970,,921,"$2,270.00 ","$1,362.00 ","$1,861.40 ","$1,747.90 ",,,"$1,861.40 ","$1,747.90 ",,,,,,,,,,"$1,861.40 ","$1,747.90 ",,"$1,861.40 ","$1,747.90 ",,,"$1,725.20 ",,"$1,770.60 ",,,"$1,861.40 ","$1,747.90 ",,,,,"$1,725.20 ","$1,861.40 "
IP-30200019,INPATIENT,HCHG NI DUPLEX ABDOMEN PELVIC LTD,93976,,921,"$1,549.00 ",$929.40 ,"$1,270.18 ","$1,192.73 ",,,"$1,270.18 ","$1,192.73 ",,,,,,,,,,"$1,270.18 ","$1,192.73 ",,"$1,270.18 ","$1,192.73 ",,,"$1,177.24 ",,"$1,208.22 ",,,"$1,270.18 ","$1,192.73 ",,,,,"$1,177.24 ","$1,270.18 "
IP-30200106,INPATIENT,HCHG NI DUPLX EXT VEINS UNI LT,93971,,921,"$1,643.00 ",$985.80 ,"$1,347.26 ","$1,265.11 ",,,"$1,347.26 ","$1,265.11 ",,,,,,,,,,"$1,347.26 ","$1,265.11 ",,"$1,347.26 ","$1,265.11 ",,,"$1,248.68 ",,"$1,281.54 ",,,"$1,347.26 ","$1,265.11 ",,,,,"$1,248.68 ","$1,347.26 "
IP-30200107,INPATIENT,HCHG NI DUPLX EXT VEINS UNI RT,93971,,921,"$1,643.00 ",$985.80 ,"$1,347.26 ","$1,265.11 ",,,"$1,347.26 ","$1,265.11 ",,,,,,,,,,"$1,347.26 ","$1,265.11 ",,"$1,347.26 ","$1,265.11 ",,,"$1,248.68 ",,"$1,281.54 ",,,"$1,347.26 ","$1,265.11 ",,,,,"$1,248.68 ","$1,347.26 "
IP-30300003,INPATIENT,HCHG MRI ORBIT AND FACE AND NECK WO CONTR,70540,,610,"$3,447.00 ","$2,068.20 ","$2,826.54 ","$2,654.19 ",,,"$2,826.54 ","$2,654.19 ",,,,,,,,,,"$2,826.54 ","$2,654.19 ",,"$2,826.54 ","$2,654.19 ",,,"$2,619.72 ",,"$2,688.66 ",,,"$2,826.54 ","$2,654.19 ",,,,,"$2,619.72 ","$2,826.54 "
IP-30300004,INPATIENT,HCHG MRI ORBIT AND FACE AND NECK W CONTR,70542,,610,"$3,307.00 ","$1,984.20 ","$2,711.74 ","$2,546.39 ",,,"$2,711.74 ","$2,546.39 ",,,,,,,,,,"$2,711.74 ","$2,546.39 ",,"$2,711.74 ","$2,546.39 ",,,"$2,513.32 ",,"$2,579.46 ",,,"$2,711.74 ","$2,546.39 ",,,,,"$2,513.32 ","$2,711.74 "
IP-30300005,INPATIENT,HCHG MRI ORBIT AND FACE AND NECK W AND WO CONTR,70543,,610,"$6,575.00 ","$3,945.00 ","$5,391.50 ","$5,062.75 ",,,"$5,391.50 ","$5,062.75 ",,,,,,,,,,"$5,391.50 ","$5,062.75 ",,"$5,391.50 ","$5,062.75 ",,,"$4,997.00 ",,"$5,128.50 ",,,"$5,391.50 ","$5,062.75 ",,,,,"$4,997.00 ","$5,391.50 "
IP-30300006,INPATIENT,HCHG MRA HEAD WO CONTR,70544,,615,"$5,024.00 ","$3,014.40 ","$4,119.68 ","$3,868.48 ",,,"$4,119.68 ","$3,868.48 ",,,,,,,,,,"$4,119.68 ","$3,868.48 ",,"$4,119.68 ","$3,868.48 ",,,"$3,818.24 ",,"$3,918.72 ",,,"$4,119.68 ","$3,868.48 ",,,,,"$3,818.24 ","$4,119.68 "
IP-30300007,INPATIENT,HCHG MRA HEAD W CONTR,70545,,615,"$4,416.00 ","$2,649.60 ","$3,621.12 ","$3,400.32 ",,,"$3,621.12 ","$3,400.32 ",,,,,,,,,,"$3,621.12 ","$3,400.32 ",,"$3,621.12 ","$3,400.32 ",,,"$3,356.16 ",,"$3,444.48 ",,,"$3,621.12 ","$3,400.32 ",,,,,"$3,356.16 ","$3,621.12 "
IP-30300008,INPATIENT,HCHG MRA HEAD W AND WO CONTR,70546,,615,"$6,562.00 ","$3,937.20 ","$5,380.84 ","$5,052.74 ",,,"$5,380.84 ","$5,052.74 ",,,,,,,,,,"$5,380.84 ","$5,052.74 ",,"$5,380.84 ","$5,052.74 ",,,"$4,987.12 ",,"$5,118.36 ",,,"$5,380.84 ","$5,052.74 ",,,,,"$4,987.12 ","$5,380.84 "
IP-30300009,INPATIENT,HCHG MRA NECK WO CONTR,70547,,615,"$4,775.00 ","$2,865.00 ","$3,915.50 ","$3,676.75 ",,,"$3,915.50 ","$3,676.75 ",,,,,,,,,,"$3,915.50 ","$3,676.75 ",,"$3,915.50 ","$3,676.75 ",,,"$3,629.00 ",,"$3,724.50 ",,,"$3,915.50 ","$3,676.75 ",,,,,"$3,629.00 ","$3,915.50 "
IP-30300010,INPATIENT,HCHG MRA NECK W CONTR,70548,,615,"$4,501.00 ","$2,700.60 ","$3,690.82 ","$3,465.77 ",,,"$3,690.82 ","$3,465.77 ",,,,,,,,,,"$3,690.82 ","$3,465.77 ",,"$3,690.82 ","$3,465.77 ",,,"$3,420.76 ",,"$3,510.78 ",,,"$3,690.82 ","$3,465.77 ",,,,,"$3,420.76 ","$3,690.82 "
IP-30300011,INPATIENT,HCHG MRA NECK W AND WO CONTR,70549,,615,"$6,758.00 ","$4,054.80 ","$5,541.56 ","$5,203.66 ",,,"$5,541.56 ","$5,203.66 ",,,,,,,,,,"$5,541.56 ","$5,203.66 ",,"$5,541.56 ","$5,203.66 ",,,"$5,136.08 ",,"$5,271.24 ",,,"$5,541.56 ","$5,203.66 ",,,,,"$5,136.08 ","$5,541.56 "
IP-30300012,INPATIENT,HCHG MRI BRAIN W STEM WO CONTR,70551,,611,"$4,815.00 ","$2,889.00 ","$3,948.30 ","$3,707.55 ",,,"$3,948.30 ","$3,707.55 ",,,,,,,,,,"$3,948.30 ","$3,707.55 ",,"$3,948.30 ","$3,707.55 ",,,"$3,659.40 ",,"$3,755.70 ",,,"$3,948.30 ","$3,707.55 ",,,,,"$3,659.40 ","$3,948.30 "
IP-30300013,INPATIENT,HCHG MRI BRAIN W STEM W CONTR,70552,,611,"$5,605.00 ","$3,363.00 ","$4,596.10 ","$4,315.85 ",,,"$4,596.10 ","$4,315.85 ",,,,,,,,,,"$4,596.10 ","$4,315.85 ",,"$4,596.10 ","$4,315.85 ",,,"$4,259.80 ",,"$4,371.90 ",,,"$4,596.10 ","$4,315.85 ",,,,,"$4,259.80 ","$4,596.10 "
IP-30300014,INPATIENT,HCHG MRI BRAIN W STEM W AND WO CONTR,70553,,611,"$7,014.00 ","$4,208.40 ","$5,751.48 ","$5,400.78 ",,,"$5,751.48 ","$5,400.78 ",,,,,,,,,,"$5,751.48 ","$5,400.78 ",,"$5,751.48 ","$5,400.78 ",,,"$5,330.64 ",,"$5,470.92 ",,,"$5,751.48 ","$5,400.78 ",,,,,"$5,330.64 ","$5,751.48 "
IP-30300018,INPATIENT,HCHG MRI CHEST WO CONTR,71550,,610,"$3,773.00 ","$2,263.80 ","$3,093.86 ","$2,905.21 ",,,"$3,093.86 ","$2,905.21 ",,,,,,,,,,"$3,093.86 ","$2,905.21 ",,"$3,093.86 ","$2,905.21 ",,,"$2,867.48 ",,"$2,942.94 ",,,"$3,093.86 ","$2,905.21 ",,,,,"$2,867.48 ","$3,093.86 "
IP-30300019,INPATIENT,HCHG MRI CHEST W CONTR,71551,,610,"$4,976.00 ","$2,985.60 ","$4,080.32 ","$3,831.52 ",,,"$4,080.32 ","$3,831.52 ",,,,,,,,,,"$4,080.32 ","$3,831.52 ",,"$4,080.32 ","$3,831.52 ",,,"$3,781.76 ",,"$3,881.28 ",,,"$4,080.32 ","$3,831.52 ",,,,,"$3,781.76 ","$4,080.32 "
IP-30300020,INPATIENT,HCHG MRI CHEST W AND WO CONTR,71552,,610,"$5,681.00 ","$3,408.60 ","$4,658.42 ","$4,374.37 ",,,"$4,658.42 ","$4,374.37 ",,,,,,,,,,"$4,658.42 ","$4,374.37 ",,"$4,658.42 ","$4,374.37 ",,,"$4,317.56 ",,"$4,431.18 ",,,"$4,658.42 ","$4,374.37 ",,,,,"$4,317.56 ","$4,658.42 "
IP-30300021,INPATIENT,HCHG MRI SPINE CERV WO CONTR,72141,,612,"$4,424.00 ","$2,654.40 ","$3,627.68 ","$3,406.48 ",,,"$3,627.68 ","$3,406.48 ",,,,,,,,,,"$3,627.68 ","$3,406.48 ",,"$3,627.68 ","$3,406.48 ",,,"$3,362.24 ",,"$3,450.72 ",,,"$3,627.68 ","$3,406.48 ",,,,,"$3,362.24 ","$3,627.68 "
IP-30300022,INPATIENT,HCHG MRI SPINE CERV W CONTR,72142,,612,"$5,230.00 ","$3,138.00 ","$4,288.60 ","$4,027.10 ",,,"$4,288.60 ","$4,027.10 ",,,,,,,,,,"$4,288.60 ","$4,027.10 ",,"$4,288.60 ","$4,027.10 ",,,"$3,974.80 ",,"$4,079.40 ",,,"$4,288.60 ","$4,027.10 ",,,,,"$3,974.80 ","$4,288.60 "
IP-30300023,INPATIENT,HCHG MRI SPINE THOR WO CONTR,72146,,612,"$4,655.00 ","$2,793.00 ","$3,817.10 ","$3,584.35 ",,,"$3,817.10 ","$3,584.35 ",,,,,,,,,,"$3,817.10 ","$3,584.35 ",,"$3,817.10 ","$3,584.35 ",,,"$3,537.80 ",,"$3,630.90 ",,,"$3,817.10 ","$3,584.35 ",,,,,"$3,537.80 ","$3,817.10 "
IP-30300024,INPATIENT,HCHG MRI SPINE THOR W CONTR,72147,,612,"$4,734.00 ","$2,840.40 ","$3,881.88 ","$3,645.18 ",,,"$3,881.88 ","$3,645.18 ",,,,,,,,,,"$3,881.88 ","$3,645.18 ",,"$3,881.88 ","$3,645.18 ",,,"$3,597.84 ",,"$3,692.52 ",,,"$3,881.88 ","$3,645.18 ",,,,,"$3,597.84 ","$3,881.88 "
IP-30300025,INPATIENT,HCHG MRI SPINE LUMB WO CONTR,72148,,612,"$4,378.00 ","$2,626.80 ","$3,589.96 ","$3,371.06 ",,,"$3,589.96 ","$3,371.06 ",,,,,,,,,,"$3,589.96 ","$3,371.06 ",,"$3,589.96 ","$3,371.06 ",,,"$3,327.28 ",,"$3,414.84 ",,,"$3,589.96 ","$3,371.06 ",,,,,"$3,327.28 ","$3,589.96 "
IP-30300026,INPATIENT,HCHG MRI SPINE LUMB W CONTR,72149,,612,"$4,588.00 ","$2,752.80 ","$3,762.16 ","$3,532.76 ",,,"$3,762.16 ","$3,532.76 ",,,,,,,,,,"$3,762.16 ","$3,532.76 ",,"$3,762.16 ","$3,532.76 ",,,"$3,486.88 ",,"$3,578.64 ",,,"$3,762.16 ","$3,532.76 ",,,,,"$3,486.88 ","$3,762.16 "
IP-30300027,INPATIENT,HCHG MRI SPINE CERV W AND WO CONTR,72156,,612,"$6,809.00 ","$4,085.40 ","$5,583.38 ","$5,242.93 ",,,"$5,583.38 ","$5,242.93 ",,,,,,,,,,"$5,583.38 ","$5,242.93 ",,"$5,583.38 ","$5,242.93 ",,,"$5,174.84 ",,"$5,311.02 ",,,"$5,583.38 ","$5,242.93 ",,,,,"$5,174.84 ","$5,583.38 "
IP-30300028,INPATIENT,HCHG MRI SPINE THOR W AND WO CONTR,72157,,612,"$6,907.00 ","$4,144.20 ","$5,663.74 ","$5,318.39 ",,,"$5,663.74 ","$5,318.39 ",,,,,,,,,,"$5,663.74 ","$5,318.39 ",,"$5,663.74 ","$5,318.39 ",,,"$5,249.32 ",,"$5,387.46 ",,,"$5,663.74 ","$5,318.39 ",,,,,"$5,249.32 ","$5,663.74 "
IP-30300029,INPATIENT,HCHG MRI SPINE LUMB W AND WO CONTR,72158,,612,"$6,557.00 ","$3,934.20 ","$5,376.74 ","$5,048.89 ",,,"$5,376.74 ","$5,048.89 ",,,,,,,,,,"$5,376.74 ","$5,048.89 ",,"$5,376.74 ","$5,048.89 ",,,"$4,983.32 ",,"$5,114.46 ",,,"$5,376.74 ","$5,048.89 ",,,,,"$4,983.32 ","$5,376.74 "
IP-30300031,INPATIENT,HCHG MRI PELVIS WO CONTR,72195,,610,"$3,930.00 ","$2,358.00 ","$3,222.60 ","$3,026.10 ",,,"$3,222.60 ","$3,026.10 ",,,,,,,,,,"$3,222.60 ","$3,026.10 ",,"$3,222.60 ","$3,026.10 ",,,"$2,986.80 ",,"$3,065.40 ",,,"$3,222.60 ","$3,026.10 ",,,,,"$2,986.80 ","$3,222.60 "
IP-30300032,INPATIENT,HCHG MRI PELVIS W CONTR,72196,,610,"$3,162.00 ","$1,897.20 ","$2,592.84 ","$2,434.74 ",,,"$2,592.84 ","$2,434.74 ",,,,,,,,,,"$2,592.84 ","$2,434.74 ",,"$2,592.84 ","$2,434.74 ",,,"$2,403.12 ",,"$2,466.36 ",,,"$2,592.84 ","$2,434.74 ",,,,,"$2,403.12 ","$2,592.84 "
IP-30300033,INPATIENT,HCHG MRI PELVIS W AND WO CONTR,72197,,610,"$6,574.00 ","$3,944.40 ","$5,390.68 ","$5,061.98 ",,,"$5,390.68 ","$5,061.98 ",,,,,,,,,,"$5,390.68 ","$5,061.98 ",,"$5,390.68 ","$5,061.98 ",,,"$4,996.24 ",,"$5,127.72 ",,,"$5,390.68 ","$5,061.98 ",,,,,"$4,996.24 ","$5,390.68 "
IP-30300102,INPATIENT,HCHG MRA PELVIS W-W/O CON,C8920,,618,"$5,187.00 ","$3,112.20 ","$4,253.34 ","$3,993.99 ",,,"$4,253.34 ","$3,993.99 ",,,,,,,,,,"$4,253.34 ","$3,993.99 ",,"$4,253.34 ","$3,993.99 ",,,"$3,942.12 ",,"$4,045.86 ",,,"$4,253.34 ","$3,993.99 ",,,,,"$3,942.12 ","$4,253.34 "
IP-30300145,INPATIENT,HCHG MRA SPINAL CANAL W-WO CON,C8933,,618,"$4,754.00 ","$2,852.40 ","$3,898.28 ","$3,660.58 ",,,"$3,898.28 ","$3,660.58 ",,,,,,,,,,"$3,898.28 ","$3,660.58 ",,"$3,898.28 ","$3,660.58 ",,,"$3,613.04 ",,"$3,708.12 ",,,"$3,898.28 ","$3,660.58 ",,,,,"$3,613.04 ","$3,898.28 "
IP-30900027,INPATIENT,HCHG REMOVAL PERQ L HRT VAD ARTL/ARTL&VEN SEP INSJ,33992,,361,"$1,751.00 ","$1,050.60 ","$1,435.82 ","$1,348.27 ",,,"$1,435.82 ","$1,348.27 ",,,,,,,,,,"$1,435.82 ","$1,348.27 ",,"$1,435.82 ","$1,348.27 ",,,"$1,330.76 ",,"$1,365.78 ",,,"$1,435.82 ","$1,348.27 ",,,,,"$1,330.76 ","$1,435.82 "
IP-30900029,INPATIENT,HCHG INSERT VAD LEFT ARTERY ACCESS,33990,,361,"$11,408.00 ","$6,844.80 ","$9,354.56 ","$8,784.16 ",,,"$9,354.56 ","$8,784.16 ",,,,,,,,,,"$9,354.56 ","$8,784.16 ",,"$9,354.56 ","$8,784.16 ",,,"$8,670.08 ",,"$8,898.24 ",,,"$9,354.56 ","$8,784.16 ",,,,,"$8,670.08 ","$9,354.56 "
IP-30900043,INPATIENT,HCHG REPOSITIONING PERQ R/L VAD W/IMG GDN SEP INSJ,33993,,361,"$7,044.00 ","$4,226.40 ","$5,776.08 ","$5,423.88 ",,,"$5,776.08 ","$5,423.88 ",,,,,,,,,,"$5,776.08 ","$5,423.88 ",,"$5,776.08 ","$5,423.88 ",,,"$5,353.44 ",,"$5,494.32 ",,,"$5,776.08 ","$5,423.88 ",,,,,"$5,353.44 ","$5,776.08 "
IP-32000003,INPATIENT,HCHG EKG 12 LEAD TRACING ONLY,93005,,730,$538.00 ,$322.80 ,$441.16 ,$414.26 ,,,$441.16 ,$414.26 ,,,,,,,,,,$441.16 ,$414.26 ,,$441.16 ,$414.26 ,,,$408.88 ,,$419.64 ,,,$441.16 ,$414.26 ,,,,,$408.88 ,$441.16 
IP-32000032,INPATIENT,HCHG CA CPR,92950,,480,"$2,113.00 ","$1,267.80 ","$1,732.66 ","$1,627.01 ",,,"$1,732.66 ","$1,627.01 ",,,,,,,,,,"$1,732.66 ","$1,627.01 ",,"$1,732.66 ","$1,627.01 ",,,"$1,605.88 ",,"$1,648.14 ",,,"$1,732.66 ","$1,627.01 ",,,,,"$1,605.88 ","$1,732.66 "
IP-33000002,INPATIENT,HCHG VENT MANAGEMENT INITIAL ADULT,94002,,410,"$5,139.00 ","$3,083.40 ","$4,213.98 ","$3,957.03 ",,,"$4,213.98 ","$3,957.03 ",,,,,,,,,,"$4,213.98 ","$3,957.03 ",,"$4,213.98 ","$3,957.03 ",,,"$3,905.64 ",,"$4,008.42 ",,,"$4,213.98 ","$3,957.03 ",,,,,"$3,905.64 ","$4,213.98 "
IP-33000003,INPATIENT,HCHG VENT MANAGEMENT INITIAL NEO/PEDS,94002,,410,"$5,139.00 ","$3,083.40 ","$4,213.98 ","$3,957.03 ",,,"$4,213.98 ","$3,957.03 ",,,,,,,,,,"$4,213.98 ","$3,957.03 ",,"$4,213.98 ","$3,957.03 ",,,"$3,905.64 ",,"$4,008.42 ",,,"$4,213.98 ","$3,957.03 ",,,,,"$3,905.64 ","$4,213.98 "
IP-33000005,INPATIENT,HCHG VENT MANAGEMENT SUBSEQUENT NEO/PEDS,94003,,410,"$3,818.00 ","$2,290.80 ","$3,130.76 ","$2,939.86 ",,,"$3,130.76 ","$2,939.86 ",,,,,,,,,,"$3,130.76 ","$2,939.86 ",,"$3,130.76 ","$2,939.86 ",,,"$2,901.68 ",,"$2,978.04 ",,,"$3,130.76 ","$2,939.86 ",,,,,"$2,901.68 ","$3,130.76 "
IP-33000007,INPATIENT,HCHG VENT MANAGEMENT SUBSEQUENT ADULT,94003,,410,"$3,818.00 ","$2,290.80 ","$3,130.76 ","$2,939.86 ",,,"$3,130.76 ","$2,939.86 ",,,,,,,,,,"$3,130.76 ","$2,939.86 ",,"$3,130.76 ","$2,939.86 ",,,"$2,901.68 ",,"$2,978.04 ",,,"$3,130.76 ","$2,939.86 ",,,,,"$2,901.68 ","$3,130.76 "
IP-33000008,INPATIENT,HCHG IPPB TREATMENT SUBSEQUENT,94640,,412,$585.00 ,$351.00 ,$479.70 ,$450.45 ,,,$479.70 ,$450.45 ,,,,,,,,,,$479.70 ,$450.45 ,,$479.70 ,$450.45 ,,,$444.60 ,,$456.30 ,,,$479.70 ,$450.45 ,,,,,$444.60 ,$479.70 
IP-33000010,INPATIENT,HCHG AIRWAY INHALATION TREATMENT,94640,,412,$585.00 ,$351.00 ,$479.70 ,$450.45 ,,,$479.70 ,$450.45 ,,,,,,,,,,$479.70 ,$450.45 ,,$479.70 ,$450.45 ,,,$444.60 ,,$456.30 ,,,$479.70 ,$450.45 ,,,,,$444.60 ,$479.70 
IP-33000011,INPATIENT,HCHG CONTINUOUS BREATHING TREATMENT 1ST HOUR,94644,,410,$613.00 ,$367.80 ,$502.66 ,$472.01 ,,,$502.66 ,$472.01 ,,,,,,,,,,$502.66 ,$472.01 ,,$502.66 ,$472.01 ,,,$465.88 ,,$478.14 ,,,$502.66 ,$472.01 ,,,,,$465.88 ,$502.66 
IP-33000012,INPATIENT,HCHG BIPAP/CPAP/SIPAP SUBSEQUENT DAY,94660,,410,"$2,428.00 ","$1,456.80 ","$1,990.96 ","$1,869.56 ",,,"$1,990.96 ","$1,869.56 ",,,,,,,,,,"$1,990.96 ","$1,869.56 ",,"$1,990.96 ","$1,869.56 ",,,"$1,845.28 ",,"$1,893.84 ",,,"$1,990.96 ","$1,869.56 ",,,,,"$1,845.28 ","$1,990.96 "
