Date of Last Update,12/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,SERVICE_SETTING,DESCRIPTION,CPT,NDC,REVENUE_CODE,Gross Charge,Discounted Cash Price,Aetna Commercial Out of Network,Aetna Commercial Out of Network - Emergency Services,Aetna HMO/PPO,Anthem Blue Cross Commercial Out of Network,Anthem Blue Cross Commercial Out of Network - Emergency Services,Anthem HMO/PPO,Anthem Individual,Blue Shield Commercial Out of Network,Blue Shield Commercial Out of Network - Emergency Services,Blue Shield HMO / PPO,Blue Shield Individual,Cigna Commercial Out of Network,Cigna Commercial Out of Network - Emergency Services,Cigna HMO/PPO,Health Net Commercial Out of Network,Health Net Commercial Out of Network - Emergency Services,Health Net HMO / PPO,HealthSmart PPO,Multiplan PPO,Partnership Health Plan,United Commercial Out of Network,United Commercial Out of Network - Emergency Services,United HMO / POS,United PPO,United Signature Value Alliance,Minimum Negotiated Price,Maximum Negotiated Price
IP_SUP-60050073-190684,INPATIENT,SCREW T2 FTHR LOKG 5X60MM,C1713,,278,"$1,171.60 ",$937.28 ,$949.00 ,$949.00 ,$949.00 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,"$1,054.44 ","$1,054.44 ","$1,054.44 ",$995.86 ,$995.86 ,$995.86 ,"$1,054.44 ","$1,054.44 ",,"$1,054.44 ","$1,054.44 ","$1,054.44 ","$1,054.44 ","$1,054.44 ",$937.28 ,"$1,054.44 "
IP_SUP-60050073-190687,INPATIENT,SCREW T2 FTHR LOKG 5X75MM,C1713,,278,"$1,171.60 ",$937.28 ,$949.00 ,$949.00 ,$949.00 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,"$1,054.44 ","$1,054.44 ","$1,054.44 ",$995.86 ,$995.86 ,$995.86 ,"$1,054.44 ","$1,054.44 ",,"$1,054.44 ","$1,054.44 ","$1,054.44 ","$1,054.44 ","$1,054.44 ",$937.28 ,"$1,054.44 "
IP_SUP-60050073-190688,INPATIENT,SCREW T2 FTHR LOKG 5X80MM,C1713,,278,"$1,171.60 ",$937.28 ,$949.00 ,$949.00 ,$949.00 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,"$1,054.44 ","$1,054.44 ","$1,054.44 ",$995.86 ,$995.86 ,$995.86 ,"$1,054.44 ","$1,054.44 ",,"$1,054.44 ","$1,054.44 ","$1,054.44 ","$1,054.44 ","$1,054.44 ",$937.28 ,"$1,054.44 "
IP_SUP-60050073-190689,INPATIENT,SCREW T2 FTHR LOKG 5X85MM,C1713,,278,"$1,171.60 ",$937.28 ,$949.00 ,$949.00 ,$949.00 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,"$1,054.44 ","$1,054.44 ","$1,054.44 ",$995.86 ,$995.86 ,$995.86 ,"$1,054.44 ","$1,054.44 ",,"$1,054.44 ","$1,054.44 ","$1,054.44 ","$1,054.44 ","$1,054.44 ",$937.28 ,"$1,054.44 "
IP_SUP-60050073-192041,INPATIENT,SCREW CORTEX 3.5X14MM,C1713,,278,$200.90 ,$160.72 ,$162.73 ,$162.73 ,$162.73 ,$160.72 ,$160.72 ,$160.72 ,$160.72 ,$160.72 ,$160.72 ,$160.72 ,$160.72 ,$180.81 ,$180.81 ,$180.81 ,$170.77 ,$170.77 ,$170.77 ,$180.81 ,$180.81 ,,$180.81 ,$180.81 ,$180.81 ,$180.81 ,$180.81 ,$160.72 ,$180.81 
IP_SUP-60050073-198740,INPATIENT,SCREW LOKG SELF-TAP 3.5MMX16MM,C1713,,278,$818.00 ,$654.40 ,$662.58 ,$662.58 ,$662.58 ,$654.40 ,$654.40 ,$654.40 ,$654.40 ,$654.40 ,$654.40 ,$654.40 ,$654.40 ,$736.20 ,$736.20 ,$736.20 ,$695.30 ,$695.30 ,$695.30 ,$736.20 ,$736.20 ,,$736.20 ,$736.20 ,$736.20 ,$736.20 ,$736.20 ,$654.40 ,$736.20 
IP_SUP-60050073-198903,INPATIENT,PLATE 1/3 TUBLR 81MM 7-H,C1713,,278,"$1,114.48 ",$891.58 ,$902.73 ,$902.73 ,$902.73 ,$891.58 ,$891.58 ,$891.58 ,$891.58 ,$891.58 ,$891.58 ,$891.58 ,$891.58 ,"$1,003.03 ","$1,003.03 ","$1,003.03 ",$947.31 ,$947.31 ,$947.31 ,"$1,003.03 ","$1,003.03 ",,"$1,003.03 ","$1,003.03 ","$1,003.03 ","$1,003.03 ","$1,003.03 ",$891.58 ,"$1,003.03 "
IP_SUP-60050073-198904,INPATIENT,PLATE 1/3 TUBLR 93MM 8-H,C1713,,278,"$1,182.32 ",$945.86 ,$957.68 ,$957.68 ,$957.68 ,$945.86 ,$945.86 ,$945.86 ,$945.86 ,$945.86 ,$945.86 ,$945.86 ,$945.86 ,"$1,064.09 ","$1,064.09 ","$1,064.09 ","$1,004.97 ","$1,004.97 ","$1,004.97 ","$1,064.09 ","$1,064.09 ",,"$1,064.09 ","$1,064.09 ","$1,064.09 ","$1,064.09 ","$1,064.09 ",$945.86 ,"$1,064.09 "
IP_SUP-60050073-199195,INPATIENT,SCREW LAG TI GAMMA3 10.5X90MM,C1713,,278,"$3,077.90 ","$2,462.32 ","$2,493.10 ","$2,493.10 ","$2,493.10 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,770.11 ","$2,770.11 ","$2,770.11 ","$2,616.22 ","$2,616.22 ","$2,616.22 ","$2,770.11 ","$2,770.11 ",,"$2,770.11 ","$2,770.11 ","$2,770.11 ","$2,770.11 ","$2,770.11 ","$2,462.32 ","$2,770.11 "
IP_SUP-60050073-203324,INPATIENT,SCREW SHZ 5MM/150MM,C1713,,278,"$1,146.96 ",$917.57 ,$929.04 ,$929.04 ,$929.04 ,$917.57 ,$917.57 ,$917.57 ,$917.57 ,$917.57 ,$917.57 ,$917.57 ,$917.57 ,"$1,032.26 ","$1,032.26 ","$1,032.26 ",$974.92 ,$974.92 ,$974.92 ,"$1,032.26 ","$1,032.26 ",,"$1,032.26 ","$1,032.26 ","$1,032.26 ","$1,032.26 ","$1,032.26 ",$917.57 ,"$1,032.26 "
IP_SUP-60050073-203325,INPATIENT,SCREW SHZ 5MM/200MM,C1713,,278,"$1,146.96 ",$917.57 ,$929.04 ,$929.04 ,$929.04 ,$917.57 ,$917.57 ,$917.57 ,$917.57 ,$917.57 ,$917.57 ,$917.57 ,$917.57 ,"$1,032.26 ","$1,032.26 ","$1,032.26 ",$974.92 ,$974.92 ,$974.92 ,"$1,032.26 ","$1,032.26 ",,"$1,032.26 ","$1,032.26 ","$1,032.26 ","$1,032.26 ","$1,032.26 ",$917.57 ,"$1,032.26 "
IP_SUP-60050073-210142,INPATIENT,SCREW LAG TI GAMMA3 10.5X100MM,C1713,,278,"$3,077.90 ","$2,462.32 ","$2,493.10 ","$2,493.10 ","$2,493.10 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,770.11 ","$2,770.11 ","$2,770.11 ","$2,616.22 ","$2,616.22 ","$2,616.22 ","$2,770.11 ","$2,770.11 ",,"$2,770.11 ","$2,770.11 ","$2,770.11 ","$2,770.11 ","$2,770.11 ","$2,462.32 ","$2,770.11 "
IP_SUP-60050073-210615,INPATIENT,SCREW LOKG T2 FTHR 5X35MM,C1713,,278,"$1,171.60 ",$937.28 ,$949.00 ,$949.00 ,$949.00 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,"$1,054.44 ","$1,054.44 ","$1,054.44 ",$995.86 ,$995.86 ,$995.86 ,"$1,054.44 ","$1,054.44 ",,"$1,054.44 ","$1,054.44 ","$1,054.44 ","$1,054.44 ","$1,054.44 ",$937.28 ,"$1,054.44 "
IP_SUP-60050073-210622,INPATIENT,SCREW LAG TI GAMMA3 10.5X105MM,C1713,,278,"$3,077.90 ","$2,462.32 ","$2,493.10 ","$2,493.10 ","$2,493.10 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,770.11 ","$2,770.11 ","$2,770.11 ","$2,616.22 ","$2,616.22 ","$2,616.22 ","$2,770.11 ","$2,770.11 ",,"$2,770.11 ","$2,770.11 ","$2,770.11 ","$2,770.11 ","$2,770.11 ","$2,462.32 ","$2,770.11 "
IP_SUP-60050073-210624,INPATIENT,NAIL GAMMA3 125DEG 11X180MM,C1713,,278,"$6,964.14 ","$5,571.31 ","$5,640.95 ","$5,640.95 ","$5,640.95 ","$5,571.31 ","$5,571.31 ","$5,571.31 ","$5,571.31 ","$5,571.31 ","$5,571.31 ","$5,571.31 ","$5,571.31 ","$6,267.73 ","$6,267.73 ","$6,267.73 ","$5,919.52 ","$5,919.52 ","$5,919.52 ","$6,267.73 ","$6,267.73 ",,"$6,267.73 ","$6,267.73 ","$6,267.73 ","$6,267.73 ","$6,267.73 ","$5,571.31 ","$6,267.73 "
IP_SUP-60050073-210895,INPATIENT,CEMENT BONE HI VISC PALACOS R,C1713,,278,$620.00 ,$496.00 ,$502.20 ,$502.20 ,$502.20 ,$496.00 ,$496.00 ,$496.00 ,$496.00 ,$496.00 ,$496.00 ,$496.00 ,$496.00 ,$558.00 ,$558.00 ,$558.00 ,$527.00 ,$527.00 ,$527.00 ,$558.00 ,$558.00 ,,$558.00 ,$558.00 ,$558.00 ,$558.00 ,$558.00 ,$496.00 ,$558.00 
IP_SUP-60050073-213821,INPATIENT,SCREW BONE SELFTAP 6.5MM X30MM,C1713,,278,"$1,056.00 ",$844.80 ,$855.36 ,$855.36 ,$855.36 ,$844.80 ,$844.80 ,$844.80 ,$844.80 ,$844.80 ,$844.80 ,$844.80 ,$844.80 ,$950.40 ,$950.40 ,$950.40 ,$897.60 ,$897.60 ,$897.60 ,$950.40 ,$950.40 ,,$950.40 ,$950.40 ,$950.40 ,$950.40 ,$950.40 ,$844.80 ,$950.40 
IP_SUP-60050073-232778,INPATIENT,SCREW LAG GAMMA3 NAIL 10.5X85,C1713,,278,"$3,077.90 ","$2,462.32 ","$2,493.10 ","$2,493.10 ","$2,493.10 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,770.11 ","$2,770.11 ","$2,770.11 ","$2,616.22 ","$2,616.22 ","$2,616.22 ","$2,770.11 ","$2,770.11 ",,"$2,770.11 ","$2,770.11 ","$2,770.11 ","$2,770.11 ","$2,770.11 ","$2,462.32 ","$2,770.11 "
IP_SUP-60050073-243426,INPATIENT,SCREW CANTL TI 4X34MM,C1713,,278,"$1,062.96 ",$850.37 ,$861.00 ,$861.00 ,$861.00 ,$850.37 ,$850.37 ,$850.37 ,$850.37 ,$850.37 ,$850.37 ,$850.37 ,$850.37 ,$956.66 ,$956.66 ,$956.66 ,$903.52 ,$903.52 ,$903.52 ,$956.66 ,$956.66 ,,$956.66 ,$956.66 ,$956.66 ,$956.66 ,$956.66 ,$850.37 ,$956.66 
IP_SUP-60050073-243450,INPATIENT,SCREW CANTL TI 4X55MM,C1713,,278,"$1,062.96 ",$850.37 ,$861.00 ,$861.00 ,$861.00 ,$850.37 ,$850.37 ,$850.37 ,$850.37 ,$850.37 ,$850.37 ,$850.37 ,$850.37 ,$956.66 ,$956.66 ,$956.66 ,$903.52 ,$903.52 ,$903.52 ,$956.66 ,$956.66 ,,$956.66 ,$956.66 ,$956.66 ,$956.66 ,$956.66 ,$850.37 ,$956.66 
IP_SUP-60050073-243453,INPATIENT,SCREW CANTL TI 4X70MM,C1713,,278,"$1,062.96 ",$850.37 ,$861.00 ,$861.00 ,$861.00 ,$850.37 ,$850.37 ,$850.37 ,$850.37 ,$850.37 ,$850.37 ,$850.37 ,$850.37 ,$956.66 ,$956.66 ,$956.66 ,$903.52 ,$903.52 ,$903.52 ,$956.66 ,$956.66 ,,$956.66 ,$956.66 ,$956.66 ,$956.66 ,$956.66 ,$850.37 ,$956.66 
IP_SUP-60050073-250258,INPATIENT,CEMENT BNE PALACOSW/ANTIBIOTIC,C1713,,278,"$1,600.00 ","$1,280.00 ","$1,296.00 ","$1,296.00 ","$1,296.00 ","$1,280.00 ","$1,280.00 ","$1,280.00 ","$1,280.00 ","$1,280.00 ","$1,280.00 ","$1,280.00 ","$1,280.00 ","$1,440.00 ","$1,440.00 ","$1,440.00 ","$1,360.00 ","$1,360.00 ","$1,360.00 ","$1,440.00 ","$1,440.00 ",,"$1,440.00 ","$1,440.00 ","$1,440.00 ","$1,440.00 ","$1,440.00 ","$1,280.00 ","$1,440.00 "
IP_SUP-60050073-304469,INPATIENT,NAIL TROCH 11X180MM 130DEG,C1713,,278,"$6,964.14 ","$5,571.31 ","$5,640.95 ","$5,640.95 ","$5,640.95 ","$5,571.31 ","$5,571.31 ","$5,571.31 ","$5,571.31 ","$5,571.31 ","$5,571.31 ","$5,571.31 ","$5,571.31 ","$6,267.73 ","$6,267.73 ","$6,267.73 ","$5,919.52 ","$5,919.52 ","$5,919.52 ","$6,267.73 ","$6,267.73 ",,"$6,267.73 ","$6,267.73 ","$6,267.73 ","$6,267.73 ","$6,267.73 ","$5,571.31 ","$6,267.73 "
IP_SUP-60050073-309748,INPATIENT,SCREW LAG TI GAMMA 10.5X75MM,C1713,,278,"$3,077.90 ","$2,462.32 ","$2,493.10 ","$2,493.10 ","$2,493.10 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,770.11 ","$2,770.11 ","$2,770.11 ","$2,616.22 ","$2,616.22 ","$2,616.22 ","$2,770.11 ","$2,770.11 ",,"$2,770.11 ","$2,770.11 ","$2,770.11 ","$2,770.11 ","$2,770.11 ","$2,462.32 ","$2,770.11 "
IP_SUP-60050073-313356,INPATIENT,SCREW LAG GAMMA 3 10.5X80MM,C1713,,278,"$3,077.90 ","$2,462.32 ","$2,493.10 ","$2,493.10 ","$2,493.10 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,462.32 ","$2,770.11 ","$2,770.11 ","$2,770.11 ","$2,616.22 ","$2,616.22 ","$2,616.22 ","$2,770.11 ","$2,770.11 ",,"$2,770.11 ","$2,770.11 ","$2,770.11 ","$2,770.11 ","$2,770.11 ","$2,462.32 ","$2,770.11 "
IP_SUP-60050073-313603,INPATIENT,SCREW LOKG T2 4X26MM,C1713,,278,"$1,190.32 ",$952.26 ,$964.16 ,$964.16 ,$964.16 ,$952.26 ,$952.26 ,$952.26 ,$952.26 ,$952.26 ,$952.26 ,$952.26 ,$952.26 ,"$1,071.29 ","$1,071.29 ","$1,071.29 ","$1,011.77 ","$1,011.77 ","$1,011.77 ","$1,071.29 ","$1,071.29 ",,"$1,071.29 ","$1,071.29 ","$1,071.29 ","$1,071.29 ","$1,071.29 ",$952.26 ,"$1,071.29 "
IP_SUP-60050073-314745,INPATIENT,SCREW BONE 1.2X5MM LFT,C1713,,278,$666.90 ,$533.52 ,$540.19 ,$540.19 ,$540.19 ,$533.52 ,$533.52 ,$533.52 ,$533.52 ,$533.52 ,$533.52 ,$533.52 ,$533.52 ,$600.21 ,$600.21 ,$600.21 ,$566.87 ,$566.87 ,$566.87 ,$600.21 ,$600.21 ,,$600.21 ,$600.21 ,$600.21 ,$600.21 ,$600.21 ,$533.52 ,$600.21 
IP_SUP-60050073-314746,INPATIENT,SCREW BONE 1.2X8MM LFT,C1713,,278,$666.90 ,$533.52 ,$540.19 ,$540.19 ,$540.19 ,$533.52 ,$533.52 ,$533.52 ,$533.52 ,$533.52 ,$533.52 ,$533.52 ,$533.52 ,$600.21 ,$600.21 ,$600.21 ,$566.87 ,$566.87 ,$566.87 ,$600.21 ,$600.21 ,,$600.21 ,$600.21 ,$600.21 ,$600.21 ,$600.21 ,$533.52 ,$600.21 
IP_SUP-60050073-324968,INPATIENT,ANCH FT SUT CORKSCREW 5.5MM,C1713,,278,"$2,280.00 ","$1,824.00 ","$1,846.80 ","$1,846.80 ","$1,846.80 ","$1,824.00 ","$1,824.00 ","$1,824.00 ","$1,824.00 ","$1,824.00 ","$1,824.00 ","$1,824.00 ","$1,824.00 ","$2,052.00 ","$2,052.00 ","$2,052.00 ","$1,938.00 ","$1,938.00 ","$1,938.00 ","$2,052.00 ","$2,052.00 ",,"$2,052.00 ","$2,052.00 ","$2,052.00 ","$2,052.00 ","$2,052.00 ","$1,824.00 ","$2,052.00 "
IP_SUP-60050073-324977,INPATIENT,CEMENT BONE HV-G COBALT,C1713,,278,"$2,000.00 ","$1,600.00 ","$1,620.00 ","$1,620.00 ","$1,620.00 ","$1,600.00 ","$1,600.00 ","$1,600.00 ","$1,600.00 ","$1,600.00 ","$1,600.00 ","$1,600.00 ","$1,600.00 ","$1,800.00 ","$1,800.00 ","$1,800.00 ","$1,700.00 ","$1,700.00 ","$1,700.00 ","$1,800.00 ","$1,800.00 ",,"$1,800.00 ","$1,800.00 ","$1,800.00 ","$1,800.00 ","$1,800.00 ","$1,600.00 ","$1,800.00 "
IP_SUP-60050073-331646,INPATIENT,SCREW CORT 3.0 X 16MM,C1713,,278,$836.00 ,$668.80 ,$677.16 ,$677.16 ,$677.16 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$752.40 ,$752.40 ,$752.40 ,$710.60 ,$710.60 ,$710.60 ,$752.40 ,$752.40 ,,$752.40 ,$752.40 ,$752.40 ,$752.40 ,$752.40 ,$668.80 ,$752.40 
IP_SUP-60050073-334988,INPATIENT,ANCH BIO PUSHLOCK 3.5MMX14MM,C1713,,278,"$2,800.00 ","$2,240.00 ","$2,268.00 ","$2,268.00 ","$2,268.00 ","$2,240.00 ","$2,240.00 ","$2,240.00 ","$2,240.00 ","$2,240.00 ","$2,240.00 ","$2,240.00 ","$2,240.00 ","$2,520.00 ","$2,520.00 ","$2,520.00 ","$2,380.00 ","$2,380.00 ","$2,380.00 ","$2,520.00 ","$2,520.00 ",,"$2,520.00 ","$2,520.00 ","$2,520.00 ","$2,520.00 ","$2,520.00 ","$2,240.00 ","$2,520.00 "
IP_SUP-60050073-337560,INPATIENT,SCREW LOKG T2 5X37.5MM,C1713,,278,"$1,171.60 ",$937.28 ,$949.00 ,$949.00 ,$949.00 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,"$1,054.44 ","$1,054.44 ","$1,054.44 ",$995.86 ,$995.86 ,$995.86 ,"$1,054.44 ","$1,054.44 ",,"$1,054.44 ","$1,054.44 ","$1,054.44 ","$1,054.44 ","$1,054.44 ",$937.28 ,"$1,054.44 "
IP_SUP-60050073-340560,INPATIENT,SCREW T2 FTHR 5X47.5MM,C1713,,278,"$1,171.60 ",$937.28 ,$949.00 ,$949.00 ,$949.00 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,"$1,054.44 ","$1,054.44 ","$1,054.44 ",$995.86 ,$995.86 ,$995.86 ,"$1,054.44 ","$1,054.44 ",,"$1,054.44 ","$1,054.44 ","$1,054.44 ","$1,054.44 ","$1,054.44 ",$937.28 ,"$1,054.44 "
IP_SUP-60050073-341569,INPATIENT,SCREW CORTEX 2.7X42MM,C1713,,278,$252.70 ,$202.16 ,$204.69 ,$204.69 ,$204.69 ,$202.16 ,$202.16 ,$202.16 ,$202.16 ,$202.16 ,$202.16 ,$202.16 ,$202.16 ,$227.43 ,$227.43 ,$227.43 ,$214.80 ,$214.80 ,$214.80 ,$227.43 ,$227.43 ,,$227.43 ,$227.43 ,$227.43 ,$227.43 ,$227.43 ,$202.16 ,$227.43 
IP_SUP-60050073-343502,INPATIENT,NAIL FEM SPRNDYLR T2 11X360MM,C1713,,278,"$9,317.64 ","$7,454.11 ","$7,547.29 ","$7,547.29 ","$7,547.29 ","$7,454.11 ","$7,454.11 ","$7,454.11 ","$7,454.11 ","$7,454.11 ","$7,454.11 ","$7,454.11 ","$7,454.11 ","$8,385.88 ","$8,385.88 ","$8,385.88 ","$7,919.99 ","$7,919.99 ","$7,919.99 ","$8,385.88 ","$8,385.88 ",,"$8,385.88 ","$8,385.88 ","$8,385.88 ","$8,385.88 ","$8,385.88 ","$7,454.11 ","$8,385.88 "
IP_SUP-60050073-344346,INPATIENT,SCREW CORT 3.0 X 10MM,C1713,,278,$836.00 ,$668.80 ,$677.16 ,$677.16 ,$677.16 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$752.40 ,$752.40 ,$752.40 ,$710.60 ,$710.60 ,$710.60 ,$752.40 ,$752.40 ,,$752.40 ,$752.40 ,$752.40 ,$752.40 ,$752.40 ,$668.80 ,$752.40 
IP_SUP-60050073-344427,INPATIENT,ANCH SWIFT LOCK,C1713,,278,"$1,400.00 ","$1,120.00 ","$1,134.00 ","$1,134.00 ","$1,134.00 ","$1,120.00 ","$1,120.00 ","$1,120.00 ","$1,120.00 ","$1,120.00 ","$1,120.00 ","$1,120.00 ","$1,120.00 ","$1,260.00 ","$1,260.00 ","$1,260.00 ","$1,190.00 ","$1,190.00 ","$1,190.00 ","$1,260.00 ","$1,260.00 ",,"$1,260.00 ","$1,260.00 ","$1,260.00 ","$1,260.00 ","$1,260.00 ","$1,120.00 ","$1,260.00 "
IP_SUP-60050073-345144,INPATIENT,SCREW T2 FTHR LOKG 5X32.5MM,C1713,,278,"$1,171.60 ",$937.28 ,$949.00 ,$949.00 ,$949.00 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,"$1,054.44 ","$1,054.44 ","$1,054.44 ",$995.86 ,$995.86 ,$995.86 ,"$1,054.44 ","$1,054.44 ",,"$1,054.44 ","$1,054.44 ","$1,054.44 ","$1,054.44 ","$1,054.44 ",$937.28 ,"$1,054.44 "
IP_SUP-60050073-348822,INPATIENT,SCREW FTHR LOKG T2 5X42.5MM,C1713,,278,"$1,171.60 ",$937.28 ,$949.00 ,$949.00 ,$949.00 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,$937.28 ,"$1,054.44 ","$1,054.44 ","$1,054.44 ",$995.86 ,$995.86 ,$995.86 ,"$1,054.44 ","$1,054.44 ",,"$1,054.44 ","$1,054.44 ","$1,054.44 ","$1,054.44 ","$1,054.44 ",$937.28 ,"$1,054.44 "
IP_SUP-60050073-349868,INPATIENT,PLATE OLECRANON ELBOW 4H RT,C1713,,278,"$5,083.74 ","$4,066.99 ","$4,117.83 ","$4,117.83 ","$4,117.83 ","$4,066.99 ","$4,066.99 ","$4,066.99 ","$4,066.99 ","$4,066.99 ","$4,066.99 ","$4,066.99 ","$4,066.99 ","$4,575.37 ","$4,575.37 ","$4,575.37 ","$4,321.18 ","$4,321.18 ","$4,321.18 ","$4,575.37 ","$4,575.37 ",,"$4,575.37 ","$4,575.37 ","$4,575.37 ","$4,575.37 ","$4,575.37 ","$4,066.99 ","$4,575.37 "
IP_SUP-60050073-355266,INPATIENT,SCREW CORT LP 3.5X12MM,C1713,,278,$332.50 ,$266.00 ,$269.33 ,$269.33 ,$269.33 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$299.25 ,$299.25 ,$299.25 ,$282.63 ,$282.63 ,$282.63 ,$299.25 ,$299.25 ,,$299.25 ,$299.25 ,$299.25 ,$299.25 ,$299.25 ,$266.00 ,$299.25 
IP_SUP-60050073-355267,INPATIENT,SCREW CORT LP 3.5X14MM,C1713,,278,$332.50 ,$266.00 ,$269.33 ,$269.33 ,$269.33 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$299.25 ,$299.25 ,$299.25 ,$282.63 ,$282.63 ,$282.63 ,$299.25 ,$299.25 ,,$299.25 ,$299.25 ,$299.25 ,$299.25 ,$299.25 ,$266.00 ,$299.25 
IP_SUP-60050073-355268,INPATIENT,SCREW CORT LP 3.5X16MM,C1713,,278,$332.50 ,$266.00 ,$269.33 ,$269.33 ,$269.33 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$299.25 ,$299.25 ,$299.25 ,$282.63 ,$282.63 ,$282.63 ,$299.25 ,$299.25 ,,$299.25 ,$299.25 ,$299.25 ,$299.25 ,$299.25 ,$266.00 ,$299.25 
IP_SUP-60050073-355269,INPATIENT,SCREW CORT LP 3.5X18MM,C1713,,278,$332.50 ,$266.00 ,$269.33 ,$269.33 ,$269.33 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$299.25 ,$299.25 ,$299.25 ,$282.63 ,$282.63 ,$282.63 ,$299.25 ,$299.25 ,,$299.25 ,$299.25 ,$299.25 ,$299.25 ,$299.25 ,$266.00 ,$299.25 
IP_SUP-60050073-355272,INPATIENT,SCREW CORT LP 3.5X24MM,C1713,,278,$332.50 ,$266.00 ,$269.33 ,$269.33 ,$269.33 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$266.00 ,$299.25 ,$299.25 ,$299.25 ,$282.63 ,$282.63 ,$282.63 ,$299.25 ,$299.25 ,,$299.25 ,$299.25 ,$299.25 ,$299.25 ,$299.25 ,$266.00 ,$299.25 
IP_SUP-60050073-355291,INPATIENT,SCREW LOKG LP 3.5X12MM,C1713,,278,$836.00 ,$668.80 ,$677.16 ,$677.16 ,$677.16 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$752.40 ,$752.40 ,$752.40 ,$710.60 ,$710.60 ,$710.60 ,$752.40 ,$752.40 ,,$752.40 ,$752.40 ,$752.40 ,$752.40 ,$752.40 ,$668.80 ,$752.40 
IP_SUP-60050073-355294,INPATIENT,SCREW LOKG LP 3.5X18MM,C1713,,278,$836.00 ,$668.80 ,$677.16 ,$677.16 ,$677.16 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$752.40 ,$752.40 ,$752.40 ,$710.60 ,$710.60 ,$710.60 ,$752.40 ,$752.40 ,,$752.40 ,$752.40 ,$752.40 ,$752.40 ,$752.40 ,$668.80 ,$752.40 
IP_SUP-60050073-355295,INPATIENT,SCREW LOKG LP 3.5X20MM,C1713,,278,$836.00 ,$668.80 ,$677.16 ,$677.16 ,$677.16 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$668.80 ,$752.40 ,$752.40 ,$752.40 ,$710.60 ,$710.60 ,$710.60 ,$752.40 ,$752.40 ,,$752.40 ,$752.40 ,$752.40 ,$752.40 ,$752.40 ,$668.80 ,$752.40 
