Date of Last Update,12/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,SERVICE_SETTING,DESCRIPTION,CPT,NDC,REVENUE_CODE,Gross Charge,Discounted Cash Price,Aetna Commercial Out of Network,Aetna Commercial Out of Network - Emergency Services,Aetna HMO/PPO,Alignment Medicare Adv_ HMO / PPO,Anthem Blue Cross Commercial Out of Network,Anthem Blue Cross Commercial Out of Network - Emergency Services,Anthem HMO/PPO,Anthem Individual,Anthem Medicare Adv_ HMO / PPO,Blue Shield Commercial Out of Network,Blue Shield Commercial Out of Network - Emergency Services,Blue Shield HMO / PPO,Blue Shield Individual,Blue Shield Medicare Adv_ HMO / PPO,Central California Alliance for Health,Cigna Commercial Out of Network,Cigna Commercial Out of Network - Emergency Services,Cigna HMO/PPO,Health Net Commercial Out of Network,Health Net Commercial Out of Network - Emergency Services,Health Net HMO / PPO,Health Net Medi-Cal / California Health & Wellness,Health Net Medicare Adv_ HMO / PPO,HealthSmart PPO,Humana Medicare Adv_ HMO,Multiplan PPO,Stanford Advantage Medicare Adv_ HMO,Sutter Health Plus HMO,United Commercial Out of Network,United Commercial Out of Network - Emergency Services,United HMO / POS,United Medicare Adv_ HMO and PPO,United PPO,United Signature Value Alliance,Minimum Negotiated Price,Maximum Negotiated Price
IP-87000005,INPATIENT,HCHG RHC LEVEL 4 NEW PATIENT,99204,,521,$236.00 ,$141.60 ,$193.52 ,$181.72 ,,,$193.52 ,$181.72 ,,,,$195.88 ,$195.88 ,$195.88 ,$195.88 ,,,$193.52 ,$181.72 ,,$193.52 ,$181.72 ,,,,$212.40 ,,$212.40 ,,,$193.52 ,$181.72 ,$200.60 ,,$200.60 ,$200.60 ,$181.72 ,$212.40 
IP-87000006,INPATIENT,HCHG RHC LEVEL 5 NEW PATIENT,99205,,521,$236.00 ,$141.60 ,$193.52 ,$181.72 ,,,$193.52 ,$181.72 ,,,,$195.88 ,$195.88 ,$195.88 ,$195.88 ,,,$193.52 ,$181.72 ,,$193.52 ,$181.72 ,,,,$212.40 ,,$212.40 ,,,$193.52 ,$181.72 ,$200.60 ,,$200.60 ,$200.60 ,$181.72 ,$212.40 
IP-87000007,INPATIENT,HCHG RHC LEVEL 1 ESTABLISHED PATIENT,99211,,521,$222.00 ,$133.20 ,$182.04 ,$170.94 ,,,$182.04 ,$170.94 ,,,,$184.26 ,$184.26 ,$184.26 ,$184.26 ,,,$182.04 ,$170.94 ,,$182.04 ,$170.94 ,,,,$199.80 ,,$199.80 ,,,$182.04 ,$170.94 ,$188.70 ,,$188.70 ,$188.70 ,$170.94 ,$199.80 
IP-87000008,INPATIENT,HCHG RHC LEVEL 2 ESTABLISHED PATIENT,99212,,521,$222.00 ,$133.20 ,$182.04 ,$170.94 ,,,$182.04 ,$170.94 ,,,,$184.26 ,$184.26 ,$184.26 ,$184.26 ,,,$182.04 ,$170.94 ,,$182.04 ,$170.94 ,,,,$199.80 ,,$199.80 ,,,$182.04 ,$170.94 ,$188.70 ,,$188.70 ,$188.70 ,$170.94 ,$199.80 
IP-87000009,INPATIENT,HCHG RHC LEVEL 3 ESTABLISHED PATIENT,99213,,521,$222.00 ,$133.20 ,$182.04 ,$170.94 ,,,$182.04 ,$170.94 ,,,,$184.26 ,$184.26 ,$184.26 ,$184.26 ,,,$182.04 ,$170.94 ,,$182.04 ,$170.94 ,,,,$199.80 ,,$199.80 ,,,$182.04 ,$170.94 ,$188.70 ,,$188.70 ,$188.70 ,$170.94 ,$199.80 
IP-87000010,INPATIENT,HCHG RHC LEVEL 4 ESTABLISHED PATIENT,99214,,521,$222.00 ,$133.20 ,$182.04 ,$170.94 ,,,$182.04 ,$170.94 ,,,,$184.26 ,$184.26 ,$184.26 ,$184.26 ,,,$182.04 ,$170.94 ,,$182.04 ,$170.94 ,,,,$199.80 ,,$199.80 ,,,$182.04 ,$170.94 ,$188.70 ,,$188.70 ,$188.70 ,$170.94 ,$199.80 
IP-87000011,INPATIENT,HCHG RHC LEVEL 5 ESTABLISHED PATIENT,99215,,521,$229.00 ,$137.40 ,$187.78 ,$176.33 ,,,$187.78 ,$176.33 ,,,,$190.07 ,$190.07 ,$190.07 ,$190.07 ,,,$187.78 ,$176.33 ,,$187.78 ,$176.33 ,,,,$206.10 ,,$206.10 ,,,$187.78 ,$176.33 ,$194.65 ,,$194.65 ,$194.65 ,$176.33 ,$206.10 
IP-87000020,INPATIENT,HCHG RHC OBTAIN SCREEN PAP SMEAR,Q0091,,521,$58.00 ,$34.80 ,$47.56 ,$44.66 ,,,$47.56 ,$44.66 ,,,,$48.14 ,$48.14 ,$48.14 ,$48.14 ,,,$47.56 ,$44.66 ,,$47.56 ,$44.66 ,,,,$52.20 ,,$52.20 ,,,$47.56 ,$44.66 ,$49.30 ,,$49.30 ,$49.30 ,$44.66 ,$52.20 
IP-87000030,INPATIENT,HCHG RHC EXC FAC-MM B9+MAR 2.1-3CM,11443,,521,"$1,496.00 ",$897.60 ,"$1,226.72 ","$1,151.92 ",,,"$1,226.72 ","$1,151.92 ",,,,"$1,241.68 ","$1,241.68 ","$1,241.68 ","$1,241.68 ",,,"$1,226.72 ","$1,151.92 ",,"$1,226.72 ","$1,151.92 ",,,,"$1,346.40 ",,"$1,346.40 ",,,"$1,226.72 ","$1,151.92 ","$1,271.60 ",,"$1,271.60 ","$1,271.60 ","$1,151.92 ","$1,346.40 "
IP-87000031,INPATIENT,"HCHG RHC EXC MLES,S/N/EX/G.6-1.CM",11621,,521,"$3,126.00 ","$1,875.60 ","$2,563.32 ","$2,407.02 ",,,"$2,563.32 ","$2,407.02 ",,,,"$2,594.58 ","$2,594.58 ","$2,594.58 ","$2,594.58 ",,,"$2,563.32 ","$2,407.02 ",,"$2,563.32 ","$2,407.02 ",,,,"$2,813.40 ",,"$2,813.40 ",,,"$2,563.32 ","$2,407.02 ","$2,657.10 ",,"$2,657.10 ","$2,657.10 ","$2,407.02 ","$2,813.40 "
IP-87000033,INPATIENT,"HCHG RHC EXC MLES,S/N/EX/G 2.1-3CM",11623,,521,"$3,865.00 ","$2,319.00 ","$3,169.30 ","$2,976.05 ",,,"$3,169.30 ","$2,976.05 ",,,,"$3,207.95 ","$3,207.95 ","$3,207.95 ","$3,207.95 ",,,"$3,169.30 ","$2,976.05 ",,"$3,169.30 ","$2,976.05 ",,,,"$3,478.50 ",,"$3,478.50 ",,,"$3,169.30 ","$2,976.05 ","$3,285.25 ",,"$3,285.25 ","$3,285.25 ","$2,976.05 ","$3,478.50 "
IP-87000034,INPATIENT,"HCHG RHC EXC MLES,F/E/E/N/L2.1-3CM",11643,,521,"$4,204.00 ","$2,522.40 ","$3,447.28 ","$3,237.08 ",,,"$3,447.28 ","$3,237.08 ",,,,"$3,489.32 ","$3,489.32 ","$3,489.32 ","$3,489.32 ",,,"$3,447.28 ","$3,237.08 ",,"$3,447.28 ","$3,237.08 ",,,,"$3,783.60 ",,"$3,783.60 ",,,"$3,447.28 ","$3,237.08 ","$3,573.40 ",,"$3,573.40 ","$3,573.40 ","$3,237.08 ","$3,783.60 "
IP-87000035,INPATIENT,HCHG RHC SREP S/N/A/G/TR/E 7.6-12.5CM,12004,,521,$843.00 ,$505.80 ,$691.26 ,$649.11 ,,,$691.26 ,$649.11 ,,,,$699.69 ,$699.69 ,$699.69 ,$699.69 ,,,$691.26 ,$649.11 ,,$691.26 ,$649.11 ,,,,$758.70 ,,$758.70 ,,,$691.26 ,$649.11 ,$716.55 ,,$716.55 ,$716.55 ,$649.11 ,$758.70 
IP-87000036,INPATIENT,HCHG RHC DESTRUCT 1ST PREMAL LSION,17000,,521,$213.00 ,$127.80 ,$174.66 ,$164.01 ,,,$174.66 ,$164.01 ,,,,$176.79 ,$176.79 ,$176.79 ,$176.79 ,,,$174.66 ,$164.01 ,,$174.66 ,$164.01 ,,,,$191.70 ,,$191.70 ,,,$174.66 ,$164.01 ,$181.05 ,,$181.05 ,$181.05 ,$164.01 ,$191.70 
IP-87000037,INPATIENT,HCHG RHC DESTRUCT PREMALG LES 2-14,17003,,521,$58.00 ,$34.80 ,$47.56 ,$44.66 ,,,$47.56 ,$44.66 ,,,,$48.14 ,$48.14 ,$48.14 ,$48.14 ,,,$47.56 ,$44.66 ,,$47.56 ,$44.66 ,,,,$52.20 ,,$52.20 ,,,$47.56 ,$44.66 ,$49.30 ,,$49.30 ,$49.30 ,$44.66 ,$52.20 
IP-87000038,INPATIENT,HCHG RHC INSERT CATH NON INDWELLING,51701,,521,$461.00 ,$276.60 ,$378.02 ,$354.97 ,,,$378.02 ,$354.97 ,,,,$382.63 ,$382.63 ,$382.63 ,$382.63 ,,,$378.02 ,$354.97 ,,$378.02 ,$354.97 ,,,,$414.90 ,,$414.90 ,,,$378.02 ,$354.97 ,$391.85 ,,$391.85 ,$391.85 ,$354.97 ,$414.90 
IP-87000039,INPATIENT,HCHG RHC REMOVE IUD,58301,,521,$882.00 ,$529.20 ,$723.24 ,$679.14 ,,,$723.24 ,$679.14 ,,,,$732.06 ,$732.06 ,$732.06 ,$732.06 ,,,$723.24 ,$679.14 ,,$723.24 ,$679.14 ,,,,$793.80 ,,$793.80 ,,,$723.24 ,$679.14 ,$749.70 ,,$749.70 ,$749.70 ,$679.14 ,$793.80 
IP-87000040,INPATIENT,HCHG RHC MDI/NEB DEMO/EVAL,94664,,412,$488.00 ,$292.80 ,$400.16 ,$375.76 ,,,$400.16 ,$375.76 ,,,,$405.04 ,$405.04 ,$405.04 ,$405.04 ,,,$400.16 ,$375.76 ,,$400.16 ,$375.76 ,,,,$439.20 ,,$439.20 ,,,$400.16 ,$375.76 ,$414.80 ,,$414.80 ,$414.80 ,$375.76 ,$439.20 
IP-87000041,INPATIENT,HCHG RHC DRAIN/INJ SMALL JOINT/BURSA W/O US BI,20600,,521,"$1,689.00 ","$1,013.40 ","$1,384.98 ","$1,300.53 ",,,"$1,384.98 ","$1,300.53 ",,,,"$1,401.87 ","$1,401.87 ","$1,401.87 ","$1,401.87 ",,,"$1,384.98 ","$1,300.53 ",,"$1,384.98 ","$1,300.53 ",,,,"$1,520.10 ",,"$1,520.10 ",,,"$1,384.98 ","$1,300.53 ","$1,435.65 ",,"$1,435.65 ","$1,435.65 ","$1,300.53 ","$1,520.10 "
IP-87000042,INPATIENT,HCHG RHC DRAIN/INJ INTERMEDIATE JOINT/BURSA W/O US BI,20605,,521,"$1,598.00 ",$958.80 ,"$1,310.36 ","$1,230.46 ",,,"$1,310.36 ","$1,230.46 ",,,,"$1,326.34 ","$1,326.34 ","$1,326.34 ","$1,326.34 ",,,"$1,310.36 ","$1,230.46 ",,"$1,310.36 ","$1,230.46 ",,,,"$1,438.20 ",,"$1,438.20 ",,,"$1,310.36 ","$1,230.46 ","$1,358.30 ",,"$1,358.30 ","$1,358.30 ","$1,230.46 ","$1,438.20 "
IP-87000043,INPATIENT,HCHG RHC DRAIN/INJ MAJOR JOINT/BURSA W/O US,20610,,521,"$1,346.00 ",$807.60 ,"$1,103.72 ","$1,036.42 ",,,"$1,103.72 ","$1,036.42 ",,,,"$1,117.18 ","$1,117.18 ","$1,117.18 ","$1,117.18 ",,,"$1,103.72 ","$1,036.42 ",,"$1,103.72 ","$1,036.42 ",,,,"$1,211.40 ",,"$1,211.40 ",,,"$1,103.72 ","$1,036.42 ","$1,144.10 ",,"$1,144.10 ","$1,144.10 ","$1,036.42 ","$1,211.40 "
IP-87000044,INPATIENT,HCHG RHC MDI/NEB SUBSQ,94640,,412,$585.00 ,$351.00 ,$479.70 ,$450.45 ,,,$479.70 ,$450.45 ,,,,$485.55 ,$485.55 ,$485.55 ,$485.55 ,,,$479.70 ,$450.45 ,,$479.70 ,$450.45 ,,,,$526.50 ,,$526.50 ,,,$479.70 ,$450.45 ,$497.25 ,,$497.25 ,$497.25 ,$450.45 ,$526.50 
IP-87000045,INPATIENT,HCHG RHC I & D OF BARTHOLIN'S GLAND ABSCESS,56420,,521,$589.00 ,$353.40 ,$482.98 ,$453.53 ,,,$482.98 ,$453.53 ,,,,$488.87 ,$488.87 ,$488.87 ,$488.87 ,,,$482.98 ,$453.53 ,,$482.98 ,$453.53 ,,,,$530.10 ,,$530.10 ,,,$482.98 ,$453.53 ,$500.65 ,,$500.65 ,$500.65 ,$453.53 ,$530.10 
IP-87000046,INPATIENT,HCHG RHC INTMD WND REPAIR N-HF/GENIT =< 2.5 CM,12041,,521,"$1,091.00 ",$654.60 ,$894.62 ,$840.07 ,,,$894.62 ,$840.07 ,,,,$905.53 ,$905.53 ,$905.53 ,$905.53 ,,,$894.62 ,$840.07 ,,$894.62 ,$840.07 ,,,,$981.90 ,,$981.90 ,,,$894.62 ,$840.07 ,$927.35 ,,$927.35 ,$927.35 ,$840.07 ,$981.90 
IP-87000047,INPATIENT,HCHG RHC REM FB INTRANASAL,30300,,521,$420.00 ,$252.00 ,$344.40 ,$323.40 ,,,$344.40 ,$323.40 ,,,,$348.60 ,$348.60 ,$348.60 ,$348.60 ,,,$344.40 ,$323.40 ,,$344.40 ,$323.40 ,,,,$378.00 ,,$378.00 ,,,$344.40 ,$323.40 ,$357.00 ,,$357.00 ,$357.00 ,$323.40 ,$378.00 
IP-87000048,INPATIENT,HCHG RHC REM FB CONEAL W SLIT LAMP,65222,,521,$536.00 ,$321.60 ,$439.52 ,$412.72 ,,,$439.52 ,$412.72 ,,,,$444.88 ,$444.88 ,$444.88 ,$444.88 ,,,$439.52 ,$412.72 ,,$439.52 ,$412.72 ,,,,$482.40 ,,$482.40 ,,,$439.52 ,$412.72 ,$455.60 ,,$455.60 ,$455.60 ,$412.72 ,$482.40 
IP-87000049,INPATIENT,HCHG RHC INTMD WND REPAIR S/A/T/EXT,12031,,521,"$1,314.00 ",$788.40 ,"$1,077.48 ","$1,011.78 ",,,"$1,077.48 ","$1,011.78 ",,,,"$1,090.62 ","$1,090.62 ","$1,090.62 ","$1,090.62 ",,,"$1,077.48 ","$1,011.78 ",,"$1,077.48 ","$1,011.78 ",,,,"$1,182.60 ",,"$1,182.60 ",,,"$1,077.48 ","$1,011.78 ","$1,116.90 ",,"$1,116.90 ","$1,116.90 ","$1,011.78 ","$1,182.60 "
IP-87000050,INPATIENT,HCHG RHC INTMD WND REPAIR S/A/T/EXT,12032,,521,"$1,595.00 ",$957.00 ,"$1,307.90 ","$1,228.15 ",,,"$1,307.90 ","$1,228.15 ",,,,"$1,323.85 ","$1,323.85 ","$1,323.85 ","$1,323.85 ",,,"$1,307.90 ","$1,228.15 ",,"$1,307.90 ","$1,228.15 ",,,,"$1,435.50 ",,"$1,435.50 ",,,"$1,307.90 ","$1,228.15 ","$1,355.75 ",,"$1,355.75 ","$1,355.75 ","$1,228.15 ","$1,435.50 "
IP-87000051,INPATIENT,HCHG RHC INTMD WND REPAIR N-HF/GENIT,12042,,521,"$1,171.00 ",$702.60 ,$960.22 ,$901.67 ,,,$960.22 ,$901.67 ,,,,$971.93 ,$971.93 ,$971.93 ,$971.93 ,,,$960.22 ,$901.67 ,,$960.22 ,$901.67 ,,,,"$1,053.90 ",,"$1,053.90 ",,,$960.22 ,$901.67 ,$995.35 ,,$995.35 ,$995.35 ,$901.67 ,"$1,053.90 "
IP-87000052,INPATIENT,HCHG RHC CL TX CLAVICULAR FX WO MANIP,23500,,521,$416.00 ,$249.60 ,$341.12 ,$320.32 ,,,$341.12 ,$320.32 ,,,,$345.28 ,$345.28 ,$345.28 ,$345.28 ,,,$341.12 ,$320.32 ,,$341.12 ,$320.32 ,,,,$374.40 ,,$374.40 ,,,$341.12 ,$320.32 ,$353.60 ,,$353.60 ,$353.60 ,$320.32 ,$374.40 
IP-87000053,INPATIENT,HCHG RHC CL TX PHALANG SHFT FX W MANIP,26725,,521,"$1,071.00 ",$642.60 ,$878.22 ,$824.67 ,,,$878.22 ,$824.67 ,,,,$888.93 ,$888.93 ,$888.93 ,$888.93 ,,,$878.22 ,$824.67 ,,$878.22 ,$824.67 ,,,,$963.90 ,,$963.90 ,,,$878.22 ,$824.67 ,$910.35 ,,$910.35 ,$910.35 ,$824.67 ,$963.90 
IP-87000054,INPATIENT,HCHG RHC CL TX IP JNT D W MANIP WO ANESTH,26770,,521,"$1,058.00 ",$634.80 ,$867.56 ,$814.66 ,,,$867.56 ,$814.66 ,,,,$878.14 ,$878.14 ,$878.14 ,$878.14 ,,,$867.56 ,$814.66 ,,$867.56 ,$814.66 ,,,,$952.20 ,,$952.20 ,,,$867.56 ,$814.66 ,$899.30 ,,$899.30 ,$899.30 ,$814.66 ,$952.20 
IP-87000055,INPATIENT,HCHG RHC CL TX PHAL SHAFT FX WO MANIP,26720,,521,$692.00 ,$415.20 ,$567.44 ,$532.84 ,,,$567.44 ,$532.84 ,,,,$574.36 ,$574.36 ,$574.36 ,$574.36 ,,,$567.44 ,$532.84 ,,$567.44 ,$532.84 ,,,,$622.80 ,,$622.80 ,,,$567.44 ,$532.84 ,$588.20 ,,$588.20 ,$588.20 ,$532.84 ,$622.80 
IP-87000056,INPATIENT,HCHG RHC CL TX PROX FIB/SHAFT FX WO MANIP,27780,,521,$483.00 ,$289.80 ,$396.06 ,$371.91 ,,,$396.06 ,$371.91 ,,,,$400.89 ,$400.89 ,$400.89 ,$400.89 ,,,$396.06 ,$371.91 ,,$396.06 ,$371.91 ,,,,$434.70 ,,$434.70 ,,,$396.06 ,$371.91 ,$410.55 ,,$410.55 ,$410.55 ,$371.91 ,$434.70 
IP-87000058,INPATIENT,HCHG RHC CL TX METATARSAL FX WO MANIP,28470,,521,$993.00 ,$595.80 ,$814.26 ,$764.61 ,,,$814.26 ,$764.61 ,,,,$824.19 ,$824.19 ,$824.19 ,$824.19 ,,,$814.26 ,$764.61 ,,$814.26 ,$764.61 ,,,,$893.70 ,,$893.70 ,,,$814.26 ,$764.61 ,$844.05 ,,$844.05 ,$844.05 ,$764.61 ,$893.70 
IP-87000059,INPATIENT,HCHG RHC CL TX CMC FX DISLOC THUMB W MANIP,26645,,521,$710.00 ,$426.00 ,$582.20 ,$546.70 ,,,$582.20 ,$546.70 ,,,,$589.30 ,$589.30 ,$589.30 ,$589.30 ,,,$582.20 ,$546.70 ,,$582.20 ,$546.70 ,,,,$639.00 ,,$639.00 ,,,$582.20 ,$546.70 ,$603.50 ,,$603.50 ,$603.50 ,$546.70 ,$639.00 
IP-87000061,INPATIENT,HCHG RHC CL TX FX PHALNX/PHALANG WO MANIP,28510,,521,$731.00 ,$438.60 ,$599.42 ,$562.87 ,,,$599.42 ,$562.87 ,,,,$606.73 ,$606.73 ,$606.73 ,$606.73 ,,,$599.42 ,$562.87 ,,$599.42 ,$562.87 ,,,,$657.90 ,,$657.90 ,,,$599.42 ,$562.87 ,$621.35 ,,$621.35 ,$621.35 ,$562.87 ,$657.90 
IP-87000062,INPATIENT,HCHG RHC CL TX FX PHALANX/PHALANG W MANIP,28515,,521,$717.00 ,$430.20 ,$587.94 ,$552.09 ,,,$587.94 ,$552.09 ,,,,$595.11 ,$595.11 ,$595.11 ,$595.11 ,,,$587.94 ,$552.09 ,,$587.94 ,$552.09 ,,,,$645.30 ,,$645.30 ,,,$587.94 ,$552.09 ,$609.45 ,,$609.45 ,$609.45 ,$552.09 ,$645.30 
IP-87000064,INPATIENT,HCHG RHC SHAVE LES T/A/L 0.5CM/<,11300,,521,$190.00 ,$114.00 ,$155.80 ,$146.30 ,,,$155.80 ,$146.30 ,,,,$157.70 ,$157.70 ,$157.70 ,$157.70 ,,,$155.80 ,$146.30 ,,$155.80 ,$146.30 ,,,,$171.00 ,,$171.00 ,,,$155.80 ,$146.30 ,$161.50 ,,$161.50 ,$161.50 ,$146.30 ,$171.00 
IP-87000065,INPATIENT,HCHG RHC SHAVE LES T/A/L 0.6-1.0CM,11301,,521,$158.00 ,$94.80 ,$129.56 ,$121.66 ,,,$129.56 ,$121.66 ,,,,$131.14 ,$131.14 ,$131.14 ,$131.14 ,,,$129.56 ,$121.66 ,,$129.56 ,$121.66 ,,,,$142.20 ,,$142.20 ,,,$129.56 ,$121.66 ,$134.30 ,,$134.30 ,$134.30 ,$121.66 ,$142.20 
IP-87000066,INPATIENT,HCHG RHC SHAVE LES T/A/L 1.1-2.0CM,11302,,521,$193.00 ,$115.80 ,$158.26 ,$148.61 ,,,$158.26 ,$148.61 ,,,,$160.19 ,$160.19 ,$160.19 ,$160.19 ,,,$158.26 ,$148.61 ,,$158.26 ,$148.61 ,,,,$173.70 ,,$173.70 ,,,$158.26 ,$148.61 ,$164.05 ,,$164.05 ,$164.05 ,$148.61 ,$173.70 
IP-87000067,INPATIENT,HCHG RHC SHAVE LES T/A/L > 2.0CM,11303,,521,$190.00 ,$114.00 ,$155.80 ,$146.30 ,,,$155.80 ,$146.30 ,,,,$157.70 ,$157.70 ,$157.70 ,$157.70 ,,,$155.80 ,$146.30 ,,$155.80 ,$146.30 ,,,,$171.00 ,,$171.00 ,,,$155.80 ,$146.30 ,$161.50 ,,$161.50 ,$161.50 ,$146.30 ,$171.00 
IP-87000068,INPATIENT,HCHG RHC SHAVE LES S/N/H/F/G 0.5CM/<,11305,,521,$217.00 ,$130.20 ,$177.94 ,$167.09 ,,,$177.94 ,$167.09 ,,,,$180.11 ,$180.11 ,$180.11 ,$180.11 ,,,$177.94 ,$167.09 ,,$177.94 ,$167.09 ,,,,$195.30 ,,$195.30 ,,,$177.94 ,$167.09 ,$184.45 ,,$184.45 ,$184.45 ,$167.09 ,$195.30 
IP-87000069,INPATIENT,HCHG RHC SHAVE LES S/N/H/F/G 0.6-1.0CM,11306,,521,$190.00 ,$114.00 ,$155.80 ,$146.30 ,,,$155.80 ,$146.30 ,,,,$157.70 ,$157.70 ,$157.70 ,$157.70 ,,,$155.80 ,$146.30 ,,$155.80 ,$146.30 ,,,,$171.00 ,,$171.00 ,,,$155.80 ,$146.30 ,$161.50 ,,$161.50 ,$161.50 ,$146.30 ,$171.00 
IP-87000070,INPATIENT,HCHG RHC SHAVE LES S/N/H/F/G 1.1-2.0CM,11307,,521,$366.00 ,$219.60 ,$300.12 ,$281.82 ,,,$300.12 ,$281.82 ,,,,$303.78 ,$303.78 ,$303.78 ,$303.78 ,,,$300.12 ,$281.82 ,,$300.12 ,$281.82 ,,,,$329.40 ,,$329.40 ,,,$300.12 ,$281.82 ,$311.10 ,,$311.10 ,$311.10 ,$281.82 ,$329.40 
IP-87000071,INPATIENT,HCHG RHC SHAVE LES S/N/H/F/G > 2.0CM,11308,,521,$199.00 ,$119.40 ,$163.18 ,$153.23 ,,,$163.18 ,$153.23 ,,,,$165.17 ,$165.17 ,$165.17 ,$165.17 ,,,$163.18 ,$153.23 ,,$163.18 ,$153.23 ,,,,$179.10 ,,$179.10 ,,,$163.18 ,$153.23 ,$169.15 ,,$169.15 ,$169.15 ,$153.23 ,$179.10 
IP-87000072,INPATIENT,HCHG RHC SHAVE LES F/E/N/L 0.5CM/<,11310,,521,$198.00 ,$118.80 ,$162.36 ,$152.46 ,,,$162.36 ,$152.46 ,,,,$164.34 ,$164.34 ,$164.34 ,$164.34 ,,,$162.36 ,$152.46 ,,$162.36 ,$152.46 ,,,,$178.20 ,,$178.20 ,,,$162.36 ,$152.46 ,$168.30 ,,$168.30 ,$168.30 ,$152.46 ,$178.20 
IP-87000073,INPATIENT,HCHG RHC SHAVE LES F/E/N/L 0.6-1.0CM,11311,,521,$273.00 ,$163.80 ,$223.86 ,$210.21 ,,,$223.86 ,$210.21 ,,,,$226.59 ,$226.59 ,$226.59 ,$226.59 ,,,$223.86 ,$210.21 ,,$223.86 ,$210.21 ,,,,$245.70 ,,$245.70 ,,,$223.86 ,$210.21 ,$232.05 ,,$232.05 ,$232.05 ,$210.21 ,$245.70 
IP-87000074,INPATIENT,HCHG RHC SHAVE LES F/E/N/L 1.1-2.0CM,11312,,521,$181.00 ,$108.60 ,$148.42 ,$139.37 ,,,$148.42 ,$139.37 ,,,,$150.23 ,$150.23 ,$150.23 ,$150.23 ,,,$148.42 ,$139.37 ,,$148.42 ,$139.37 ,,,,$162.90 ,,$162.90 ,,,$148.42 ,$139.37 ,$153.85 ,,$153.85 ,$153.85 ,$139.37 ,$162.90 
IP-87000075,INPATIENT,HCHG RHC SHAVE LES F/E/N/L > 2.0CM,11313,,521,$215.00 ,$129.00 ,$176.30 ,$165.55 ,,,$176.30 ,$165.55 ,,,,$178.45 ,$178.45 ,$178.45 ,$178.45 ,,,$176.30 ,$165.55 ,,$176.30 ,$165.55 ,,,,$193.50 ,,$193.50 ,,,$176.30 ,$165.55 ,$182.75 ,,$182.75 ,$182.75 ,$165.55 ,$193.50 
IP-87000076,INPATIENT,HCHG RHC EXC TR-EXT B9+MARG 0.5CM/<,11400,,521,$952.00 ,$571.20 ,$780.64 ,$733.04 ,,,$780.64 ,$733.04 ,,,,$790.16 ,$790.16 ,$790.16 ,$790.16 ,,,$780.64 ,$733.04 ,,$780.64 ,$733.04 ,,,,$856.80 ,,$856.80 ,,,$780.64 ,$733.04 ,$809.20 ,,$809.20 ,$809.20 ,$733.04 ,$856.80 
IP-87000077,INPATIENT,HCHG RHC EXC BEN LES T/A/L 0.6-1.0CM,11401,,521,"$3,079.00 ","$1,847.40 ","$2,524.78 ","$2,370.83 ",,,"$2,524.78 ","$2,370.83 ",,,,"$2,555.57 ","$2,555.57 ","$2,555.57 ","$2,555.57 ",,,"$2,524.78 ","$2,370.83 ",,"$2,524.78 ","$2,370.83 ",,,,"$2,771.10 ",,"$2,771.10 ",,,"$2,524.78 ","$2,370.83 ","$2,617.15 ",,"$2,617.15 ","$2,617.15 ","$2,370.83 ","$2,771.10 "
IP-87000078,INPATIENT,HCHG RHC EXC BEN LES T/A/L 1.1-2.0CM,11402,,521,"$3,616.00 ","$2,169.60 ","$2,965.12 ","$2,784.32 ",,,"$2,965.12 ","$2,784.32 ",,,,"$3,001.28 ","$3,001.28 ","$3,001.28 ","$3,001.28 ",,,"$2,965.12 ","$2,784.32 ",,"$2,965.12 ","$2,784.32 ",,,,"$3,254.40 ",,"$3,254.40 ",,,"$2,965.12 ","$2,784.32 ","$3,073.60 ",,"$3,073.60 ","$3,073.60 ","$2,784.32 ","$3,254.40 "
IP-87000079,INPATIENT,HCHG RHC EXC BEN LES T/A/L 2.1-3.0CM,11403,,521,"$4,593.00 ","$2,755.80 ","$3,766.26 ","$3,536.61 ",,,"$3,766.26 ","$3,536.61 ",,,,"$3,812.19 ","$3,812.19 ","$3,812.19 ","$3,812.19 ",,,"$3,766.26 ","$3,536.61 ",,"$3,766.26 ","$3,536.61 ",,,,"$4,133.70 ",,"$4,133.70 ",,,"$3,766.26 ","$3,536.61 ","$3,904.05 ",,"$3,904.05 ","$3,904.05 ","$3,536.61 ","$4,133.70 "
IP-87000080,INPATIENT,HCHG RHC EXC BEN LES T/A/L 3.1-4.0CM,11404,,521,"$4,425.00 ","$2,655.00 ","$3,628.50 ","$3,407.25 ",,,"$3,628.50 ","$3,407.25 ",,,,"$3,672.75 ","$3,672.75 ","$3,672.75 ","$3,672.75 ",,,"$3,628.50 ","$3,407.25 ",,"$3,628.50 ","$3,407.25 ",,,,"$3,982.50 ",,"$3,982.50 ",,,"$3,628.50 ","$3,407.25 ","$3,761.25 ",,"$3,761.25 ","$3,761.25 ","$3,407.25 ","$3,982.50 "
